country,year,ae_ton_real
fra,2012,512.43671
fra,2013,485.58258
fra,2014,451.85793
fra,2015,474.1452
fra,2016,474.82419
fra,2017,493.32451
fra,2018,502.91095
fra,2019,519.61425
fra,2020,435.27479
fra,2021,486.5265
fra,2022,452.09094
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,1649.13155
deu,2009,1491.38928
deu,2010,1428.79609
deu,2011,1388.32494
deu,2012,1389.81059
deu,2013,1372.02878
deu,2014,601.30751
deu,2015,616.32823
deu,2016,611.64384
deu,2017,602.21404
deu,2018,573.62046
deu,2019,565.16475
deu,2020,522.59967
deu,2021,520.87852
deu,2022,477.41037
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,0.36029
grc,2009,0.33549
grc,2010,0.33142
grc,2011,0.33678
grc,2012,0.40726
grc,2013,0.49801
grc,2014,0.59545
grc,2015,0.70858
grc,2016,0.89458
grc,2017,1.14283
grc,2018,1.31443
grc,2019,2.31976
grc,2020,3.63616
grc,2021,2.96993
grc,2022,3.06538
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,464.69786
hun,2009,525.98791
hun,2010,624.63325
hun,2011,628.19562
hun,2012,504.74475
hun,2013,517.47856
hun,2014,463.11643
hun,2015,497.2425
hun,2016,500.10807
hun,2017,476.97822
hun,2018,479.3778
hun,2019,484.74278
hun,2020,489.4118
hun,2021,515.59887
hun,2022,473.44634
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,3.35706
isl,2009,3.8489
isl,2010,3.53443
isl,2011,3.67707
isl,2012,3.6516
isl,2013,3.48162
isl,2014,4.18778
isl,2015,4.32808
isl,2016,5.78312
isl,2017,6.60478
isl,2018,7.05734
isl,2019,6.68214
isl,2020,5.78659
isl,2021,6.02566
isl,2022,6.23482
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,35.28355
irl,2009,30.71989
irl,2010,25.73564
irl,2011,19.79749
irl,2012,19.53251
irl,2013,27.31167
irl,2014,29.27359
irl,2015,41.84362
irl,2016,50.79011
irl,2017,26.71572
irl,2018,42.04741
irl,2019,24.70353
irl,2020,23.16569
irl,2021,26.83643
irl,2022,28.03498
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,681.90708
ita,2009,686.93285
ita,2010,647.26287
ita,2011,568.4689
ita,2012,537.51528
ita,2013,550.0528
ita,2014,481.49256
ita,2015,503.98432
ita,2016,488.49567
ita,2017,486.63499
ita,2018,524.3859
ita,2019,507.13567
ita,2020,394.46744
ita,2021,489.95179
ita,2022,463.37865
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,78.77976
lva,2009,117.36879
lva,2010,133.65897
lva,2011,120.64888
lva,2012,98.87458
lva,2013,119.24349
lva,2014,118.50469
lva,2015,122.27787
lva,2016,133.77938
lva,2017,125.80625
lva,2018,157.13362
lva,2019,105.05097
lva,2020,99.46764
lva,2021,210.59053
lva,2022,209.47713
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,12.50137
ltu,2009,13.82021
ltu,2010,14.07073
ltu,2011,15.49672
ltu,2012,14.07409
ltu,2013,19.97485
ltu,2014,42.15898
ltu,2015,62.7398
ltu,2016,90.2234
ltu,2017,96.5098
ltu,2018,49.42811
ltu,2019,48.1368
ltu,2020,23.43323
ltu,2021,4.25953
ltu,2022,4.18531
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,5.7302
lux,2009,6.13075
lux,2010,8.34663
lux,2011,14.76858
lux,2012,25.6352
lux,2013,30.16075
lux,2014,26.04001
lux,2015,28.85174
lux,2016,28.55575
lux,2017,30.69015
lux,2018,29.37978
lux,2019,33.80594
lux,2020,15.3986
lux,2021,15.10378
lux,2022,12.8626
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,7.31767
mlt,2009,6.61677
mlt,2010,8.17797
mlt,2011,6.71676
mlt,2012,8.83721
mlt,2013,9.02466
mlt,2014,9.73628
mlt,2015,9.8593
mlt,2016,5.7007
mlt,2017,5.69542
mlt,2018,6.41944
mlt,2019,7.08012
mlt,2020,6.49667
mlt,2021,6.73622
mlt,2022,6.83992
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,589.6871
nld,2009,557.02749
nld,2010,490.21787
nld,2011,396.10727
nld,2012,386.31225
nld,2013,359.63695
nld,2014,307.08466
nld,2015,310.9988
nld,2016,308.82291
nld,2017,340.44223
nld,2018,281.7217
nld,2019,258.14871
nld,2020,232.26586
nld,2021,256.45893
nld,2022,229.63975
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,240.90912923
nzl,2009,252.71858094
nzl,2010,255.3259141
nzl,2011,241.74058793
nzl,2012,246.3959669
nzl,2013,236.60563269
nzl,2014,230.45651228
nzl,2015,215.79837415
nzl,2016,202.3427844
nzl,2017,176.30058542
nzl,2018,162.54721893
nzl,2019,155.30767103
nzl,2020,145.91320481
nzl,2021,137.26012664
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,113.81627
nor,2009,127.10122
nor,2010,197.57718
nor,2011,149.36309
nor,2012,124.14889
nor,2013,145.95491
nor,2014,119.48442
nor,2015,115.01856
nor,2016,119.68139
nor,2017,105.04493
nor,2018,138.92477
nor,2019,90.24685
nor,2020,86.85088
nor,2021,89.53285
nor,2022,88.00217
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,656.6718
pol,2009,669.73098
pol,2010,738.2841
pol,2011,716.96922
pol,2012,689.5519
pol,2013,653.76696
pol,2014,663.18744
pol,2015,697.58478
pol,2016,1265.03345
pol,2017,1502.32385
pol,2018,1265.78388
pol,2019,1185.13083
pol,2020,1217.23533
pol,2021,1398.89398
pol,2022,1342.90236
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,29.9357
prt,2009,26.9732
prt,2010,25.5442
prt,2011,18.4781
prt,2012,14.8765
prt,2013,15.7187
prt,2014,15.9931
prt,2015,15.1674
prt,2016,15.8637
prt,2017,15.6567
prt,2018,16.4769
prt,2019,17.1693
prt,2020,13.9781
prt,2021,21.5976
prt,2022,20.87795
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,480.6266
rou,2009,468.92216
rou,2010,472.53341
rou,2011,445.29222
rou,2012,443.21585
rou,2013,438.10031
rou,2014,441.27653
rou,2015,439.02714
rou,2016,453.57522
rou,2017,492.2418
rou,2018,502.18666
rou,2019,503.06357
rou,2020,470.4917
rou,2021,508.17222
rou,2022,478.9009
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,298.44369
svk,2009,298.93975
svk,2010,320.27729
svk,2011,270.61783
svk,2012,284.07269
svk,2013,314.71742
svk,2014,242.74819
svk,2015,239.22146
svk,2016,247.68593
svk,2017,264.7162
svk,2018,278.16618
svk,2019,298.40985
svk,2020,280.91135
svk,2021,320.81907
svk,2022,310.26403
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,106.41402
svn,2009,91.26933
svn,2010,85.80565
svn,2011,77.4432
svn,2012,61.76439
svn,2013,62.1274
svn,2014,39.6413
svn,2015,40.39086
svn,2016,50.64331
svn,2017,44.92101
svn,2018,45.33258
svn,2019,45.50444
svn,2020,37.50104
svn,2021,33.68244
svn,2022,36.13041
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,397.26895
esp,2009,431.8649
esp,2010,521.9279
esp,2011,544.95416
esp,2012,490.28258
esp,2013,401.62145
esp,2014,328.65184
esp,2015,315.04078
esp,2016,324.64118
esp,2017,340.03407
esp,2018,323.84889
esp,2019,405.2778
esp,2020,483.21577
