country,year,ae_ton_arts
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,73.32188
fin,2009,73.14989
fin,2010,69.49893
fin,2011,73.56691
fin,2012,107.07558
fin,2013,121.19231
fin,2014,111.29928
fin,2015,113.69236
fin,2016,121.13233
fin,2017,89.7223
fin,2018,83.52006
fin,2019,92.62055
fin,2020,70.64246
fin,2021,77.87577
fin,2022,68.43312
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,2389.19891
fra,2009,2727.14267
fra,2010,2890.80813
fra,2011,2283.5742
fra,2012,2470.07591
fra,2013,1946.42498
fra,2014,1757.53032
fra,2015,1854.72817
fra,2016,1878.49213
fra,2017,1999.02169
fra,2018,1944.50905
fra,2019,1932.00234
fra,2020,1710.72509
fra,2021,1922.48197
fra,2022,1581.21517
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,2986.859
deu,2009,2748.23562
deu,2010,2668.13976
deu,2011,2494.96708
deu,2012,2539.38437
deu,2013,2555.92471
deu,2014,962.11918
deu,2015,1117.56537
deu,2016,1069.77151
deu,2017,1058.18652
deu,2018,926.30969
deu,2019,947.723
deu,2020,1005.03121
deu,2021,988.98981
deu,2022,939.8647
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,48.14788
grc,2009,40.05505
grc,2010,38.72735
grc,2011,49.57471
grc,2012,62.54409
grc,2013,51.35783
grc,2014,37.26454
grc,2015,45.00263
grc,2016,49.44327
grc,2017,44.15186
grc,2018,46.87261
grc,2019,48.5536
grc,2020,52.51545
grc,2021,46.67605
grc,2022,47.48302
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,73.50613
hun,2009,70.27971
hun,2010,82.69128
hun,2011,81.34054
hun,2012,65.3452
hun,2013,72.13784
hun,2014,70.03088
hun,2015,78.76381
hun,2016,78.08509
hun,2017,81.69273
hun,2018,80.05944
hun,2019,79.46291
hun,2020,70.05234
hun,2021,80.08059
hun,2022,72.07994
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,3.5262
isl,2009,5.02147
isl,2010,3.68805
isl,2011,3.72548
isl,2012,4.11972
isl,2013,4.34627
isl,2014,6.38941
isl,2015,3.13544
isl,2016,2.33627
isl,2017,2.14977
isl,2018,2.59535
