country,year,ae_cap_edu
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,46.88659
fra,2009,51.88773
fra,2010,52.54455
fra,2011,38.58796
fra,2012,43.47224
fra,2013,64.91371
fra,2014,54.17673
fra,2015,58.76026
fra,2016,58.67319
fra,2017,60.95475
fra,2018,57.22571
fra,2019,53.8103
fra,2020,47.31493
fra,2021,55.25709
fra,2022,49.8654
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,61.79711
deu,2009,53.67289
deu,2010,47.21804
deu,2011,41.44612
deu,2012,39.82469
deu,2013,43.75037
deu,2014,39.0378
deu,2015,42.41412
deu,2016,41.04661
deu,2017,41.04373
deu,2018,37.72967
deu,2019,38.70911
deu,2020,40.78478
deu,2021,43.41226
deu,2022,41.12185
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,4.56155
grc,2009,4.03453
grc,2010,3.89369
grc,2011,3.97678
grc,2012,4.16248
grc,2013,3.26359
grc,2014,2.87116
grc,2015,3.48795
grc,2016,3.36522
grc,2017,3.14222
grc,2018,3.36542
grc,2019,3.61914
grc,2020,6.06576
grc,2021,5.58006
grc,2022,5.89326
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,31.06972
hun,2009,31.6608
hun,2010,32.61911
hun,2011,31.43745
hun,2012,25.86265
hun,2013,24.83615
hun,2014,24.89799
hun,2015,27.39118
hun,2016,27.25404
hun,2017,24.68603
hun,2018,23.23185
hun,2019,21.66786
hun,2020,21.82325
hun,2021,21.63363
hun,2022,20.04282
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,2.15323
isl,2009,2.51114
isl,2010,3.13668
isl,2011,2.62155
isl,2012,2.89089
isl,2013,2.80251
isl,2014,2.76617
isl,2015,2.53107
isl,2016,2.933
isl,2017,2.52732
isl,2018,3.10975
isl,2019,2.70618
isl,2020,2.67447
isl,2021,3.38868
isl,2022,3.08709
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,27.07121
irl,2009,23.32059
irl,2010,27.3072
irl,2011,24.31234
irl,2012,25.15448
irl,2013,48.44495
irl,2014,43.87149
irl,2015,46.49711
irl,2016,47.70057
irl,2017,46.99822
irl,2018,51.50719
irl,2019,47.91257
irl,2020,48.51513
irl,2021,50.75458
irl,2022,47.70915
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,18.20997
ita,2009,18.58692
ita,2010,20.57063
ita,2011,19.90621
ita,2012,19.10311
ita,2013,18.42949
ita,2014,18.39513
ita,2015,16.45183
ita,2016,18.08464
ita,2017,16.87282
ita,2018,15.7158
ita,2019,16.78336
ita,2020,16.29481
ita,2021,17.16827
ita,2022,15.67651
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,27.48558
lva,2009,22.44466
lva,2010,20.93235
lva,2011,13.21115
lva,2012,12.07108
lva,2013,11.44265
lva,2014,10.47103
lva,2015,9.35352
lva,2016,10.68464
lva,2017,8.81509
lva,2018,10.06372
lva,2019,13.84446
lva,2020,10.5555
lva,2021,8.50782
lva,2022,8.53166
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,17.84478
ltu,2009,19.76894
ltu,2010,22.21393
ltu,2011,24.00787
ltu,2012,19.78911
ltu,2013,19.89824
ltu,2014,37.85633
ltu,2015,16.68233
ltu,2016,19.16109
ltu,2017,20.20142
ltu,2018,22.24155
