country,year,ae_ton_wat_trans
fra,2008,31936.90308
fra,2009,25560.26527
fra,2010,26923.04658
fra,2011,26665.79378
fra,2012,27777.9988
fra,2013,25842.50167
fra,2014,24472.56534
fra,2015,23528.88855
fra,2016,22445.66126
fra,2017,28011.22739
fra,2018,29728.8022
fra,2019,27823.514
fra,2020,26424.07341
fra,2021,28838.12076
fra,2022,30347.60617
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,29861.18741
deu,2009,24408.55309
deu,2010,26411.54073
deu,2011,22762.77206
deu,2012,25969.49543
deu,2013,25743.44877
deu,2014,24960.85656
deu,2015,36538.88184
deu,2016,30808.79111
deu,2017,35530.35865
deu,2018,39494.26869
deu,2019,34168.6205
deu,2020,27431.09806
deu,2021,27432.63275
deu,2022,27340.62773
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,11721.14229
grc,2009,12286.77621
grc,2010,12394.47085
grc,2011,11259.65926
grc,2012,10719.13764
grc,2013,8166.96033
grc,2014,8419.76871
grc,2015,10230.93414
grc,2016,11645.69009
grc,2017,13045.32418
grc,2018,14904.51627
grc,2019,16187.27679
grc,2020,15507.34342
grc,2021,15805.72554
grc,2022,16363.85172
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,24.03003
hun,2009,22.92979
hun,2010,21.89155
hun,2011,20.85479
hun,2012,19.81095
hun,2013,16.65537
hun,2014,19.81873
hun,2015,19.86277
hun,2016,16.69634
hun,2017,16.72152
hun,2018,16.68472
hun,2019,16.62456
hun,2020,13.42959
hun,2021,10.24807
hun,2022,10.89296
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,304.38522
isl,2009,279.81686
isl,2010,276.24269
isl,2011,280.34114
isl,2012,286.34175
isl,2013,258.48854
isl,2014,213.42946
isl,2015,523.15445
isl,2016,382.40666
isl,2017,562.38632
isl,2018,637.94302
isl,2019,550.85333
isl,2020,449.35472
isl,2021,429.92447
isl,2022,422.30264
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,240.14914
irl,2009,208.89653
irl,2010,214.05791
irl,2011,183.02372
irl,2012,188.78692
irl,2013,186.20011
irl,2014,230.14422
irl,2015,227.8455
irl,2016,272.31297
irl,2017,245.13782
irl,2018,270.68538
irl,2019,290.29897
irl,2020,362.33672
irl,2021,394.19934
irl,2022,326.42591
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,20694.87244
ita,2009,15660.2278
ita,2010,18387.44001
ita,2011,16905.56296
ita,2012,16947.79144
ita,2013,16682.00973
ita,2014,14287.40178
ita,2015,13872.85841
ita,2016,13754.83533
ita,2017,17290.75588
ita,2018,15974.68452
ita,2019,18171.64347
ita,2020,14707.73844
ita,2021,15859.60424
ita,2022,16549.5526
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,22.32479
lva,2009,43.38559
lva,2010,34.70239
lva,2011,32.74526
lva,2012,31.79792
lva,2013,44.17968
lva,2014,29.96356
lva,2015,28.16029
lva,2016,36.32887
lva,2017,33.63867
lva,2018,25.58969
lva,2019,31.68329
lva,2020,22.71209
lva,2021,23.84739
lva,2022,12.29409
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,83.998
ltu,2009,108.07724
ltu,2010,165.95101
ltu,2011,139.56599
ltu,2012,131.02122
ltu,2013,28.52024
ltu,2014,21.41054
ltu,2015,19.62992
ltu,2016,75.89055
ltu,2017,76.09812
ltu,2018,112.32121
ltu,2019,108.74917
ltu,2020,109.58523
ltu,2021,141.07253
ltu,2022,116.05267
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,0.47504
lux,2009,0.60389
lux,2010,1.41032
lux,2011,1.10937
lux,2012,0.60552
lux,2013,0.60558
lux,2014,0.90946
lux,2015,1.21427
lux,2016,1.21494
lux,2017,1.41843
lux,2018,1.31851
lux,2019,1.31886
lux,2020,0.81256
lux,2021,0.71147
lux,2022,0.60469
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,28.35144
mlt,2009,32.57818
mlt,2010,48.05198
mlt,2011,48.75686
mlt,2012,39.79285
mlt,2013,31.24365
mlt,2014,31.40441
mlt,2015,34.49858
mlt,2016,31.41833
mlt,2017,35.79486
mlt,2018,34.52361
mlt,2019,46.68836
mlt,2020,49.36807
mlt,2021,62.16774
mlt,2022,66.93065
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9272.16725
nld,2009,8411.05365
nld,2010,8199.19472
nld,2011,7967.04805
nld,2012,8526.61178
nld,2013,8490.43323
nld,2014,8703.72806
nld,2015,8532.07258
nld,2016,8208.83465
nld,2017,8386.97099
nld,2018,8701.14591
nld,2019,8240.39952
nld,2020,8409.7725
nld,2021,7849.51081
nld,2022,7524.97813
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,293.39765381
nzl,2009,298.99175209
nzl,2010,279.92489621
nzl,2011,297.94876286
nzl,2012,298.64908457
nzl,2013,393.15729559
nzl,2014,373.48982289
nzl,2015,425.38991193
nzl,2016,270.92024589
nzl,2017,272.5327555
nzl,2018,265.93106156
nzl,2019,333.80505203
nzl,2020,275.90521779
nzl,2021,204.75680245
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,10652.23437
nor,2009,9085.68508
nor,2010,9560.78781
nor,2011,14791.16868
nor,2012,14654.09466
nor,2013,14127.82498
nor,2014,12982.84559
nor,2015,19140.66451
nor,2016,11817.81596
nor,2017,14313.92483
nor,2018,16955.7305
nor,2019,17630.76912
nor,2020,16482.64742
nor,2021,16562.19403
nor,2022,16982.79645
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1390.92434
pol,2009,1423.16692
pol,2010,1551.90379
pol,2011,1586.60614
pol,2012,1554.17685
pol,2013,1502.92946
pol,2014,1595.35405
pol,2015,1707.53471
pol,2016,147.73671
pol,2017,25.43805
pol,2018,15.55336
pol,2019,13.87837
pol,2020,19.99363
pol,2021,35.26816
pol,2022,35.31526
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,817.4671
prt,2009,809.7149
prt,2010,619.3319
prt,2011,570.5845
prt,2012,614.4998
prt,2013,553.3265
prt,2014,557.7745
prt,2015,596.5656
prt,2016,596.1623
prt,2017,580.0768
prt,2018,623.2796
prt,2019,598.97
prt,2020,455.0103
prt,2021,487.9531
prt,2022,522.98177
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,155.398
rou,2009,95.4547
rou,2010,103.20091
rou,2011,93.7619
rou,2012,80.33304
rou,2013,151.65537
rou,2014,208.33077
rou,2015,159.97398
rou,2016,118.25794
rou,2017,122.22069
rou,2018,113.33242
rou,2019,138.00942
rou,2020,138.91615
rou,2021,142.18063
rou,2022,136.25113
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,12.69363
svk,2009,12.18058
svk,2010,13.14509
svk,2011,12.02847
svk,2012,6.68231
svk,2013,8.53047
svk,2014,8.75065
svk,2015,13.34911
svk,2016,12.15684
svk,2017,12.0276
svk,2018,8.83754
svk,2019,10.90614
svk,2020,10.09292
svk,2021,10.99936
svk,2022,11.14268
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,124.03205
svn,2009,101.41636
svn,2010,100.47561
svn,2011,103.70956
svn,2012,79.11406
svn,2013,81.68659
svn,2014,88.2855
svn,2015,84.91549
svn,2016,63.55358
svn,2017,5.35172
svn,2018,61.97118
svn,2019,89.80047
svn,2020,28.1833
svn,2021,38.34587
svn,2022,38.36168
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4212.6941
esp,2009,3517.20447
esp,2010,3360.554
esp,2011,2623.85692
esp,2012,2728.69522
esp,2013,1638.48193
esp,2014,1062.81593
esp,2015,1387.04812
esp,2016,1968.10047
esp,2017,3119.131
esp,2018,3221.5464
esp,2019,3377.13577
esp,2020,2520.50739
esp,2021,2861.14378
esp,2022,2987.18502
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,4333.21
swe,2009,3786.97217
swe,2010,3817.88128
swe,2011,2479.44138
swe,2012,1840.14048
swe,2013,2243.03037
swe,2014,2366.94316
swe,2015,3097.2099
swe,2016,3713.02189
swe,2017,3198.09571
swe,2018,3378.59302
swe,2019,3385.67317
swe,2020,2816.6323
swe,2021,2858.93093
swe,2022,3193.33977
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,115.43164
che,2009,118.06776
che,2010,119.29884
che,2011,109.52502
che,2012,127.92139
che,2013,124.20435
che,2014,120.7358
che,2015,117.03477
che,2016,114.34138
che,2017,111.63409
che,2018,107.2436
che,2019,108.37767
che,2020,107.30198
che,2021,107.72323
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,18166.6
gbr,2009,15584.6
gbr,2010,16345.8
gbr,2011,18747
gbr,2012,16705.3
gbr,2013,13976.4
gbr,2014,18388.9
gbr,2015,19548.1
gbr,2016,21903.3
gbr,2017,12795.1
gbr,2018,15332.2
gbr,2019,17193.8
gbr,2020,21876.2
gbr,2021,14573.9
gbr,2022,
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,165669.55194
eu_three,2009,143009.30477
eu_three,2010,146687.51778
eu_three,2011,139641.73012
eu_three,2012,140595.31148
eu_three,2013,129689.14302
eu_three,2014,123773.28559
eu_three,2015,140200.53351
eu_three,2016,135144.4108
eu_three,2017,153001.35025
eu_three,2018,162464.24284
eu_three,2019,158908.01191
eu_three,2020,138962.39293
eu_three,2021,146592.67188
eu_three,2022,147082.81735
eu_three,2023,
