country,year,ae_cap_def
deu,2005,
deu,2006,
deu,2007,
deu,2008,102.47623
deu,2009,94.24179
deu,2010,80.15211
deu,2011,73.99656
deu,2012,72.56721
deu,2013,76.80397
deu,2014,69.5563
deu,2015,69.03204
deu,2016,67.41373
deu,2017,63.61584
deu,2018,58.20666
deu,2019,60.35789
deu,2020,60.0056
deu,2021,62.9932
deu,2022,58.4261
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,97.55792
grc,2009,53.09423
grc,2010,51.42438
grc,2011,46.22016
grc,2012,43.04921
grc,2013,36.41897
grc,2014,29.48426
grc,2015,35.36811
grc,2016,33.07433
grc,2017,32.61386
grc,2018,26.80423
grc,2019,27.13581
grc,2020,52.3698
grc,2021,24.43027
grc,2022,25.8815
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,73.39975
hun,2009,78.02538
hun,2010,80.76569
hun,2011,80.36389
hun,2012,67.11322
hun,2013,72.72778
hun,2014,68.72315
hun,2015,80.28957
hun,2016,78.35655
hun,2017,81.03068
hun,2018,84.23598
hun,2019,84.85311
hun,2020,84.43477
hun,2021,93.42883
hun,2022,84.4834
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,18.77766
isl,2009,20.13248
isl,2010,19.64125
isl,2011,18.62963
isl,2012,19.89655
isl,2013,19.16512
isl,2014,18.38224
isl,2015,20.02518
isl,2016,20.61043
isl,2017,19.41196
isl,2018,33.0355
isl,2019,22.67807
isl,2020,18.90055
isl,2021,19.11051
isl,2022,45.88973
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,116.24498
irl,2009,100.20341
irl,2010,96.38977
irl,2011,84.09217
irl,2012,82.32984
irl,2013,79.31009
irl,2014,75.7505
irl,2015,73.47393
irl,2016,78.85825
irl,2017,81.18674
irl,2018,87.28144
irl,2019,100.74711
irl,2020,109.9168
irl,2021,102.0053
irl,2022,101.5049
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,35.58324
ita,2009,37.01869
ita,2010,35.5692
ita,2011,31.97586
ita,2012,28.9548
ita,2013,33.45983
ita,2014,32.67706
ita,2015,29.33363
ita,2016,33.52886
ita,2017,28.62442
ita,2018,28.15098
ita,2019,30.67263
ita,2020,37.11544
ita,2021,27.95715
ita,2022,26.2227
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,72.50776
