country,year,ae_cap_real
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,8.37272
aut,2009,7.74247
aut,2010,7.8718
aut,2011,4.91004
aut,2012,3.34227
aut,2013,3.01846
aut,2014,2.63837
aut,2015,2.91894
aut,2016,3.35206
aut,2017,6.79366
aut,2018,6.2084
aut,2019,5.85086
aut,2020,6.2279
aut,2021,7.14191
aut,2022,6.35592
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,5.61053
bel,2009,6.43043
bel,2010,6.52583
bel,2011,6.61047
bel,2012,6.53668
bel,2013,7.31442
bel,2014,7.29006
bel,2015,7.14251
bel,2016,7.52534
bel,2017,8.04973
bel,2018,8.45386
bel,2019,8.73989
bel,2020,6.70668
bel,2021,6.62095
bel,2022,5.90819
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,6.17134
bgr,2009,5.93048
bgr,2010,5.57646
bgr,2011,5.40154
bgr,2012,5.54384
bgr,2013,4.83187
bgr,2014,4.92455
bgr,2015,4.65446
bgr,2016,4.81899
bgr,2017,4.94331
bgr,2018,5.08641
bgr,2019,5.26269
bgr,2020,4.35017
bgr,2021,5.31337
bgr,2022,5.5055
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,32.90468
hrv,2009,33.08863
hrv,2010,35.03571
hrv,2011,32.78138
hrv,2012,29.44277
hrv,2013,28.25444
hrv,2014,26.51142
hrv,2015,32.02094
hrv,2016,33.66875
hrv,2017,36.12536
hrv,2018,36.53208
hrv,2019,36.62586
hrv,2020,34.58208
hrv,2021,40.18091
hrv,2022,40.68204
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,5.86825
cyp,2009,9.35498
cyp,2010,5.94511
cyp,2011,3.21723
cyp,2012,2.52453
cyp,2013,2.19589
cyp,2014,2.26502
cyp,2015,3.20199
cyp,2016,3.62278
cyp,2017,4.16016
cyp,2018,4.35723
cyp,2019,5.31104
cyp,2020,6.34679
cyp,2021,6.04183
cyp,2022,5.97972
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,39.55191
cze,2009,35.76509
cze,2010,36.44384
cze,2011,29.80506
cze,2012,25.90697
cze,2013,21.46358
cze,2014,20.69726
cze,2015,17.93669
cze,2016,15.61295
cze,2017,6.87602
cze,2018,14.71269
cze,2019,15.19971
cze,2020,14.14972
cze,2021,15.79353
cze,2022,15.35251
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,20.70807
dnk,2009,19.67048
dnk,2010,24.53712
dnk,2011,21.69516
dnk,2012,25.93023
dnk,2013,21.10597
dnk,2014,19.82266
dnk,2015,21.54319
dnk,2016,19.28665
dnk,2017,20.56363
dnk,2018,19.94713
dnk,2019,19.47881
dnk,2020,18.4293
dnk,2021,21.26713
