country,year,ae_cap_mine
deu,2005,
deu,2006,
deu,2007,
deu,2008,241.76567
deu,2009,187.05239
deu,2010,227.09837
deu,2011,222.59593
deu,2012,151.1351
deu,2013,138.32915
deu,2014,115.82635
deu,2015,115.55962
deu,2016,105.32751
deu,2017,103.74164
deu,2018,120.35892
deu,2019,101.26563
deu,2020,71.60529
deu,2021,65.98848
deu,2022,58.96355
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,158.63019
grc,2009,157.68278
grc,2010,132.49242
grc,2011,138.70953
grc,2012,146.1088
grc,2013,127.86927
grc,2014,119.57696
grc,2015,112.62162
grc,2016,82.69797
grc,2017,95.28974
grc,2018,92.42347
grc,2019,69.13696
grc,2020,38.3184
grc,2021,35.29192
grc,2022,36.8327
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,126.44574
hun,2009,108.52477
hun,2010,107.93896
hun,2011,108.27541
hun,2012,99.02896
hun,2013,94.14466
hun,2014,91.38804
hun,2015,90.50279
hun,2016,93.18255
hun,2017,95.1357
hun,2018,100.20481
hun,2019,100.37641
hun,2020,91.91012
hun,2021,89.01631
hun,2022,89.89098
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,2.79188
isl,2009,3.16282
isl,2010,3.84879
isl,2011,3.68542
isl,2012,4.85905
isl,2013,3.97595
isl,2014,4.29724
isl,2015,4.05586
isl,2016,5.25507
isl,2017,6.3992
isl,2018,7.00135
isl,2019,8.28745
isl,2020,9.34115
isl,2021,12.09898
isl,2022,12.10114
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,23.50809
irl,2009,21.02226
irl,2010,19.62573
irl,2011,18.56905
irl,2012,17.74386
irl,2013,19.44294
irl,2014,19.07098
irl,2015,17.86648
irl,2016,18.4711
irl,2017,18.13233
irl,2018,19.47816
irl,2019,19.58695
irl,2020,11.01208
irl,2021,12.72064
irl,2022,11.20885
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,59.46061
ita,2009,50.07204
ita,2010,49.14987
ita,2011,78.28565
ita,2012,74.13878
ita,2013,78.52485
ita,2014,59.88355
ita,2015,60.01472
ita,2016,50.32174
ita,2017,51.20515
ita,2018,56.04967
ita,2019,52.75152
ita,2020,50.88213
ita,2021,55.55949
ita,2022,54.39613
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,20.86815
