country,year,ae_ton_const
fin,1992,
fin,1993,
fin,1994,
fin,1995,
fin,1996,
fin,1997,
fin,1998,
fin,1999,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,1278.66677
fin,2009,1382.59083
fin,2010,1581.59434
fin,2011,1394.605
fin,2012,1440.84785
fin,2013,1514.62092
fin,2014,1283.57649
fin,2015,1067.62683
fin,2016,1264.50337
fin,2017,1319.554
fin,2018,1551.44609
fin,2019,1592.3483
fin,2020,1402.43061
fin,2021,1446.21145
fin,2022,1235.80332
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,8493.92726
fra,2009,7920.3267
fra,2010,7833.05209
fra,2011,8968.74754
fra,2012,8590.74434
fra,2013,8713.89362
fra,2014,8701.40481
fra,2015,8715.54694
fra,2016,8782.12143
fra,2017,8854.38813
fra,2018,8873.64814
fra,2019,8905.37136
fra,2020,7849.47873
fra,2021,8696.07782
fra,2022,8469.70539
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,8972.03452
deu,2009,8806.64983
deu,2010,9061.23919
deu,2011,9033.46468
deu,2012,9045.96794
deu,2013,9386.82103
deu,2014,8743.28309
deu,2015,9456.0369
deu,2016,9705.43383
deu,2017,9907.64134
deu,2018,9529.80506
deu,2019,9673.16456
deu,2020,9794.93077
deu,2021,10055.93057
deu,2022,8906.87913
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,725.62024
grc,2009,936.72786
grc,2010,615.5833
grc,2011,671.20304
grc,2012,380.18804
grc,2013,463.70015
grc,2014,473.769
grc,2015,444.72652
grc,2016,469.11533
grc,2017,387.93073
grc,2018,429.59407
grc,2019,358.79225
grc,2020,360.12359
grc,2021,395.61389
grc,2022,421.24211
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,846.63174
hun,2009,746.8479
hun,2010,753.28253
hun,2011,683.33685
hun,2012,618.51176
hun,2013,813.95457
hun,2014,911.1729
hun,2015,1005.62182
hun,2016,1031.39631
hun,2017,1050.47983
hun,2018,1220.98902
hun,2019,1193.95145
hun,2020,1169.8064
hun,2021,1265.94149
hun,2022,1116.41067
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,276.44913
isl,2009,206.65247
isl,2010,167.3336
isl,2011,145.95039
isl,2012,146.8442
isl,2013,142.05488
isl,2014,160.89805
isl,2015,165.66339
isl,2016,190.8303
isl,2017,207.19785
isl,2018,184.65173
isl,2019,202.41515
isl,2020,132.05231
isl,2021,113.31681
isl,2022,136.57293
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,155.96812
irl,2009,136.53653
irl,2010,222.76835
irl,2011,73.25598
irl,2012,166.37631
irl,2013,267.12744
irl,2014,301.53645
irl,2015,288.22263
irl,2016,308.74343
irl,2017,361.96343
irl,2018,391.28717
irl,2019,508.30884
irl,2020,505.08872
irl,2021,665.09377
irl,2022,681.3287
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,6309.07794
ita,2009,5962.35235
ita,2010,5837.84542
ita,2011,6435.18238
ita,2012,6028.456
ita,2013,5852.49048
ita,2014,6077.89877
ita,2015,6040.19824
ita,2016,5879.22281
ita,2017,5736.37757
ita,2018,5881.33406
ita,2019,5984.00493
ita,2020,4821.68101
ita,2021,7955.66204
ita,2022,8223.88396
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,398.54888
lva,2009,263.04932
lva,2010,254.10631
lva,2011,265.48826
lva,2012,272.93227
lva,2013,234.45277
lva,2014,227.25337
lva,2015,253.62655
lva,2016,225.42955
lva,2017,226.20701
lva,2018,228.64259
lva,2019,233.83285
lva,2020,209.39558
lva,2021,245.43977
lva,2022,225.93177
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,123.31152
ltu,2009,81.80119
ltu,2010,82.83171
ltu,2011,77.27635
ltu,2012,76.09055
ltu,2013,82.42976
ltu,2014,215.82095
ltu,2015,239.15082
ltu,2016,179.14859
ltu,2017,183.75408
ltu,2018,181.31353
ltu,2019,181.98023
ltu,2020,180.38879
ltu,2021,94.32094
ltu,2022,96.53809
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,175.4762
lux,2009,160.1605
lux,2010,176.9295
lux,2011,171.1737
lux,2012,150.5884
lux,2013,142.0876
lux,2014,154.8193
lux,2015,178.6027
lux,2016,164.8017
lux,2017,164.2231
lux,2018,160.067
lux,2019,166.8974
lux,2020,183.6861
lux,2021,138.9421
lux,2022,115.22869
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,40.58071
mlt,2009,38.36671
mlt,2010,39.12166
mlt,2011,42.05732
mlt,2012,38.80319
mlt,2013,40.30424
mlt,2014,41.62203
mlt,2015,43.77241
mlt,2016,45.72605
mlt,2017,47.7279
mlt,2018,50.62
mlt,2019,55.95104
mlt,2020,52.0197
mlt,2021,55.31922
mlt,2022,56.3118
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4252.25624
nld,2009,4209.88911
nld,2010,3985.18225
nld,2011,4006.68501
nld,2012,3665.7688
nld,2013,3603.41304
nld,2014,3510.0432
nld,2015,3478.92444
nld,2016,3646.5933
nld,2017,3585.66176
nld,2018,3594.50458
nld,2019,3532.09205
nld,2020,3424.70695
nld,2021,3399.47066
nld,2022,3419.05218
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,1115.1289587
nzl,2009,1114.5044637
nzl,2010,1118.9929803
nzl,2011,1169.6416078
nzl,2012,1197.0788798
nzl,2013,1207.7066138
nzl,2014,1254.1027681
nzl,2015,1268.6511524
nzl,2016,1356.4307729
nzl,2017,1631.9892472
nzl,2018,1850.6611851
nzl,2019,1767.7209463
nzl,2020,1657.4040266
nzl,2021,1861.028322
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,1858.28654
nor,2009,1738.6115
nor,2010,1702.35144
nor,2011,1776.78253
nor,2012,2016.82804
nor,2013,2187.06957
nor,2014,2147.62414
nor,2015,2214.67592
nor,2016,2176.75993
nor,2017,2257.53326
