country,year,imp_total
coc,2014,0
coc,2015,806
coc,2016,304
coc,2017,0
coc,2018,0
coc,2019,0
coc,2020,0
coc,2021,0
coc,2022,0
coc,2023,0
ckk,1990,
ckk,1991,
ckk,1992,
ckk,1993,
ckk,1994,
ckk,1995,
ckk,1996,
ckk,1997,
ckk,1998,
ckk,1999,
ckk,2000,
ckk,2001,
ckk,2002,
ckk,2003,
ckk,2004,
ckk,2005,
ckk,2006,
ckk,2007,
ckk,2008,416
ckk,2009,366
ckk,2010,32
ckk,2011,0
ckk,2012,1045
ckk,2013,0
ckk,2014,1759
ckk,2015,118
ckk,2016,1579
ckk,2017,1
ckk,2018,68
ckk,2019,0
ckk,2020,3
ckk,2021,0
ckk,2022,1458
ckk,2023,13
def_unspec,1990,
def_unspec,1991,
def_unspec,1992,
def_unspec,1993,
def_unspec,1994,
def_unspec,1995,
def_unspec,1996,
def_unspec,1997,
def_unspec,1998,
def_unspec,1999,
def_unspec,2000,
def_unspec,2001,
def_unspec,2002,
def_unspec,2003,
def_unspec,2004,
def_unspec,2005,
def_unspec,2006,
def_unspec,2007,
def_unspec,2008,0
def_unspec,2009,0
def_unspec,2010,0
def_unspec,2011,0
def_unspec,2012,0
def_unspec,2013,0
def_unspec,2014,0
def_unspec,2015,0
def_unspec,2016,0
def_unspec,2017,0
def_unspec,2018,0
def_unspec,2019,0
def_unspec,2020,0
def_unspec,2021,0
def_unspec,2022,97
def_unspec,2023,0
third_unspec,1990,
third_unspec,1991,
third_unspec,1992,
third_unspec,1993,
third_unspec,1994,
third_unspec,1995,
third_unspec,1996,
third_unspec,1997,
third_unspec,1998,
third_unspec,1999,
third_unspec,2000,
third_unspec,2001,
third_unspec,2002,
third_unspec,2003,
third_unspec,2004,
third_unspec,2005,
third_unspec,2006,
third_unspec,2007,
third_unspec,2008,0
third_unspec,2009,0
third_unspec,2010,0
third_unspec,2011,104
third_unspec,2012,0
third_unspec,2013,0
third_unspec,2014,0
third_unspec,2015,0
third_unspec,2016,0
third_unspec,2017,0
third_unspec,2018,0
third_unspec,2019,0
third_unspec,2020,0
third_unspec,2021,0
third_unspec,2022,5
third_unspec,2023,0
eu_unspec,1990,
eu_unspec,1991,
eu_unspec,1992,
eu_unspec,1993,
eu_unspec,1994,
eu_unspec,1995,
eu_unspec,1996,
eu_unspec,1997,
eu_unspec,1998,
eu_unspec,1999,
eu_unspec,2000,
eu_unspec,2001,
eu_unspec,2002,
eu_unspec,2003,
eu_unspec,2004,
eu_unspec,2005,
eu_unspec,2006,
eu_unspec,2007,
eu_unspec,2008,0
eu_unspec,2009,0
eu_unspec,2010,0
eu_unspec,2011,0
eu_unspec,2012,0
eu_unspec,2013,79460
eu_unspec,2014,190947
eu_unspec,2015,0
eu_unspec,2016,1
eu_unspec,2017,0
eu_unspec,2018,0
eu_unspec,2019,0
eu_unspec,2020,114069
eu_unspec,2021,73865
eu_unspec,2022,0
eu_unspec,2023,231
afg,1990,
afg,1991,
afg,1992,
afg,1993,
afg,1994,
afg,1995,
afg,1996,
afg,1997,
afg,1998,
afg,1999,
afg,2000,
afg,2001,
afg,2002,
afg,2003,
afg,2004,
afg,2005,
afg,2006,
afg,2007,
afg,2008,112
afg,2009,2021
afg,2010,34335
afg,2011,5158
afg,2012,26448
afg,2013,31639
afg,2014,2013
afg,2015,897
afg,2016,3421
afg,2017,2615
afg,2018,2505
afg,2019,4214
afg,2020,7652
afg,2021,6762
afg,2022,6086
afg,2023,6428
alb,1990,
alb,1991,
alb,1992,
alb,1993,
alb,1994,
alb,1995,
alb,1996,
alb,1997,
alb,1998,
alb,1999,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,73491
alb,2009,8477
alb,2010,62733
alb,2011,12215
alb,2012,5072
alb,2013,5106
alb,2014,6847
alb,2015,8490
alb,2016,37241
alb,2017,159959
alb,2018,179940
alb,2019,222426
alb,2020,202244
alb,2021,296655
alb,2022,664556
alb,2023,546000
dza,1990,
dza,1991,
dza,1992,
dza,1993,
dza,1994,
dza,1995,
dza,1996,
dza,1997,
dza,1998,
dza,1999,
dza,2000,
dza,2001,
dza,2002,
dza,2003,
dza,2004,
dza,2005,
dza,2006,
dza,2007,
dza,2008,1117952
dza,2009,590445
dza,2010,663948
dza,2011,1450202
dza,2012,116210
dza,2013,97073
dza,2014,233589
dza,2015,61611
dza,2016,31433
dza,2017,189131
dza,2018,29147
dza,2019,131855
dza,2020,76319
dza,2021,114241
dza,2022,210470
dza,2023,110111
vir,1990,
vir,1991,
vir,1992,
vir,1993,
vir,1994,
vir,1995,
vir,1996,
vir,1997,
vir,1998,
vir,1999,
vir,2000,
vir,2001,
vir,2002,
vir,2003,
vir,2004,
vir,2005,
vir,2006,
vir,2007,
vir,2008,245
vir,2009,233
vir,2010,10498
vir,2011,2586
vir,2012,3371
vir,2013,14939
vir,2014,64
vir,2015,25398
vir,2016,191
vir,2017,17515
vir,2018,44
vir,2019,40
vir,2020,144
vir,2021,10
vir,2022,7
vir,2023,50
asm,1990,
asm,1991,
asm,1992,
asm,1993,
asm,1994,
asm,1995,
asm,1996,
asm,1997,
asm,1998,
asm,1999,
asm,2000,
asm,2001,
asm,2002,
asm,2003,
asm,2004,
asm,2005,
asm,2006,
asm,2007,
asm,2008,0
asm,2009,0
asm,2010,0
asm,2011,838
asm,2012,2226
asm,2013,2220
asm,2014,565
asm,2015,0
asm,2016,3
asm,2017,0
asm,2018,71
asm,2019,406
asm,2020,2260
asm,2021,113
asm,2022,2522
asm,2023,4990
and,1990,
and,1991,
and,1992,
and,1993,
and,1994,
and,1995,
and,1996,
and,1997,
and,1998,
and,1999,
and,2000,
and,2001,
and,2002,
and,2003,
and,2004,
and,2005,
and,2006,
and,2007,
and,2008,209
and,2009,1872
and,2010,916
and,2011,339
and,2012,41
and,2013,455
and,2014,14
and,2015,381
and,2016,926
and,2017,1160
and,2018,1964
and,2019,1040
and,2020,460
and,2021,942
and,2022,526
and,2023,2879
ago,1990,
ago,1991,
ago,1992,
ago,1993,
ago,1994,
ago,1995,
ago,1996,
ago,1997,
ago,1998,
ago,1999,
ago,2000,
ago,2001,
ago,2002,
ago,2003,
ago,2004,
ago,2005,
ago,2006,
ago,2007,
ago,2008,965127
ago,2009,4235219
ago,2010,485
ago,2011,174509
ago,2012,615913
ago,2013,1427
ago,2014,406409
ago,2015,10303
ago,2016,8419
ago,2017,956
ago,2018,881
ago,2019,886963
ago,2020,2205
ago,2021,61
ago,2022,110860
ago,2023,847193
aia,1990,
aia,1991,
aia,1992,
aia,1993,
aia,1994,
aia,1995,
aia,1996,
aia,1997,
aia,1998,
aia,1999,
aia,2000,
aia,2001,
aia,2002,
aia,2003,
aia,2004,
aia,2005,
aia,2006,
aia,2007,
aia,2008,0
aia,2009,0
aia,2010,0
aia,2011,1170
aia,2012,0
aia,2013,69
aia,2014,5
aia,2015,0
aia,2016,135
aia,2017,4050
aia,2018,234
aia,2019,15
aia,2020,1599
aia,2021,0
aia,2022,0
aia,2023,1323
ata,1990,
ata,1991,
ata,1992,
ata,1993,
ata,1994,
ata,1995,
ata,1996,
ata,1997,
ata,1998,
ata,1999,
ata,2000,
ata,2001,
ata,2002,
ata,2003,
ata,2004,
ata,2005,
ata,2006,
ata,2007,
ata,2008,0
ata,2009,0
ata,2010,0
ata,2011,0
ata,2012,0
ata,2013,0
ata,2014,0
ata,2015,0
ata,2016,286
ata,2017,0
ata,2018,0
ata,2019,0
ata,2020,0
ata,2021,0
ata,2022,154
ata,2023,0
atg,1990,
atg,1991,
atg,1992,
atg,1993,
atg,1994,
atg,1995,
atg,1996,
atg,1997,
atg,1998,
atg,1999,
atg,2000,
atg,2001,
atg,2002,
atg,2003,
atg,2004,
atg,2005,
atg,2006,
atg,2007,
atg,2008,4
atg,2009,6865
atg,2010,961
atg,2011,49
atg,2012,965
atg,2013,7858
atg,2014,253
atg,2015,55
atg,2016,329
atg,2017,3710
atg,2018,141
atg,2019,302
atg,2020,27
atg,2021,44
atg,2022,544
atg,2023,3
arg,1990,
arg,1991,
arg,1992,
arg,1993,
arg,1994,
arg,1995,
arg,1996,
arg,1997,
arg,1998,
arg,1999,
arg,2000,
arg,2001,
arg,2002,
arg,2003,
arg,2004,
arg,2005,
arg,2006,
arg,2007,
arg,2008,402395
arg,2009,399560
arg,2010,442512
arg,2011,508745
arg,2012,606466
arg,2013,542316
arg,2014,530931
arg,2015,598398
arg,2016,643073
arg,2017,571595
arg,2018,754330
arg,2019,872492
arg,2020,333355
arg,2021,298806
arg,2022,473717
arg,2023,510085
arm,1990,
arm,1991,
arm,1992,
arm,1993,
arm,1994,
arm,1995,
arm,1996,
arm,1997,
arm,1998,
arm,1999,
arm,2000,
arm,2001,
arm,2002,
arm,2003,
arm,2004,
arm,2005,
arm,2006,
arm,2007,
arm,2008,4367
arm,2009,6947
arm,2010,8151
arm,2011,5740
arm,2012,55926
arm,2013,4615
arm,2014,5225
arm,2015,4109
arm,2016,1925
arm,2017,3161
arm,2018,5765
arm,2019,5264
arm,2020,3973
arm,2021,5476
arm,2022,4185
arm,2023,8216
abw,1990,
abw,1991,
abw,1992,
abw,1993,
abw,1994,
abw,1995,
