country,year,ggas_cap_land
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,224.97783
deu,2009,236.32875
deu,2010,242.12064
deu,2011,254.20611
deu,2012,254.10177
deu,2013,261.90818
deu,2014,217.46548
deu,2015,210.39101
deu,2016,201.05138
deu,2017,193.7771
deu,2018,185.1073
deu,2019,177.63839
deu,2020,150.31329
deu,2021,153.83746
deu,2022,153.06927
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,389.22165
grc,2009,471.86167
grc,2010,427.02457
grc,2011,350.44554
grc,2012,283.64964
grc,2013,282.92715
grc,2014,309.84266
grc,2015,287.08761
grc,2016,285.44408
grc,2017,337.30693
grc,2018,366.46827
grc,2019,402.30389
grc,2020,351.73088
grc,2021,308.71894
grc,2022,343.06073
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,439.80185
hun,2009,419.41693
hun,2010,377.48579
hun,2011,373.33863
hun,2012,348.20672
hun,2013,348.25952
hun,2014,375.57909
hun,2015,375.97321
hun,2016,341.97052
hun,2017,346.73869
hun,2018,336.8566
hun,2019,319.37313
hun,2020,260.62309
hun,2021,291.3519
hun,2022,313.3054
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,160.62638
isl,2009,149.89091
isl,2010,134.49259
isl,2011,141.77198
isl,2012,158.16318
isl,2013,206.75312
isl,2014,174.60133
isl,2015,168.78482
isl,2016,199.36826
isl,2017,202.66093
isl,2018,224.53106
isl,2019,200.86066
isl,2020,180.3009
isl,2021,205.88942
isl,2022,228.89065
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,879.74973
irl,2009,759.69624
irl,2010,671.03873
irl,2011,679.40414
irl,2012,658.38823
irl,2013,542.16972
irl,2014,522.2516
irl,2015,492.77038
irl,2016,536.50773
irl,2017,605.43128
irl,2018,576.11189
irl,2019,498.35729
irl,2020,402.33326
irl,2021,349.50243
irl,2022,364.94574
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,337.64495
ita,2009,315.13469
ita,2010,311.90525
ita,2011,300.74658
ita,2012,284.15618
ita,2013,281.31688
ita,2014,288.18709
ita,2015,268.76711
ita,2016,268.36313
ita,2017,263.42061
ita,2018,281.02099
ita,2019,280.99044
ita,2020,253.59971
ita,2021,325.37734
ita,2022,340.71266
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1270.51545
lva,2009,959.71178
lva,2010,1021.11313
lva,2011,939.57997
lva,2012,950.45893
lva,2013,932.20697
lva,2014,1026.41672
lva,2015,1161.02091
lva,2016,1102.27816
lva,2017,1153.51281
lva,2018,1163.43674
lva,2019,1173.83252
lva,2020,927.36584
lva,2021,1020.21152
lva,2022,993.04086
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1082.59841
ltu,2009,817.98434
ltu,2010,860.5867
ltu,2011,935.53268
ltu,2012,899.10002
ltu,2013,941.30815
ltu,2014,1003.80941
ltu,2015,1163.0191
ltu,2016,1277.48907
ltu,2017,1618.50647
ltu,2018,2087.3042
ltu,2019,2223.88181
ltu,2020,2919.56045
ltu,2021,2618.48229
ltu,2022,2527.94725
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,465.88519
lux,2009,441.05544
lux,2010,475.32
lux,2011,472.28806
lux,2012,502.16199
lux,2013,440.94891
lux,2014,373.14868
lux,2015,366.54307
lux,2016,329.63365
lux,2017,338.40788
lux,2018,298.1811
lux,2019,265.1086
lux,2020,259.82894
lux,2021,172.45541
lux,2022,145.06274
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,122.31588
mlt,2009,114.96027
mlt,2010,122.28842
mlt,2011,119.34169
mlt,2012,117.01238
mlt,2013,117.57374
mlt,2014,124.15397
mlt,2015,92.77593
mlt,2016,172.19472
mlt,2017,190.19108
mlt,2018,204.78431
mlt,2019,198.72194
mlt,2020,161.22797
mlt,2021,165.97146
mlt,2022,163.66836
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,379.80816
nld,2009,366.06426
nld,2010,375.17068
nld,2011,369.03357
nld,2012,349.63377
nld,2013,339.08806
nld,2014,330.11108
nld,2015,329.49551
nld,2016,331.64928
nld,2017,330.15662
nld,2018,344.22425
nld,2019,338.52516
nld,2020,329.04298
nld,2021,329.58672
nld,2022,326.7775
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,501.35557
nor,2009,483.60757
nor,2010,492.17141
nor,2011,497.95851
nor,2012,491.80181
nor,2013,482.38853
nor,2014,540.05762
nor,2015,532.02688
nor,2016,480.7142
nor,2017,396.34907
nor,2018,431.61346
nor,2019,407.26653
nor,2020,362.026
nor,2021,376.21901
nor,2022,379.938
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,225.1253
pol,2009,225.89554
pol,2010,237.28374
pol,2011,241.14775
pol,2012,229.37655
pol,2013,225.13046
pol,2014,233.69514
pol,2015,246.25985
pol,2016,101.69996
pol,2017,246.1321
pol,2018,246.50986
pol,2019,259.18131
pol,2020,240.90139
pol,2021,272.51483
pol,2022,286.11772
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,446.23076
prt,2009,434.87911
prt,2010,450.18982
prt,2011,419.06654
prt,2012,391.28917
prt,2013,384.428
prt,2014,399.138
prt,2015,400.22147
prt,2016,406.92075
prt,2017,403.11798
prt,2018,388.57326
prt,2019,379.86038
prt,2020,299.43969
prt,2021,335.24199
prt,2022,351.31259
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,286.89902
rou,2009,227.10602
rou,2010,219.61954
rou,2011,223.44636
rou,2012,218.78974
rou,2013,232.64412
rou,2014,228.35224
rou,2015,241.28581
rou,2016,270.87053
rou,2017,289.02111
rou,2018,295.7538
rou,2019,309.81099
rou,2020,286.90586
rou,2021,305.86806
rou,2022,292.0885
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,841.33919
svk,2009,692.86647
svk,2010,663.79197
svk,2011,621.15725
svk,2012,546.53688
svk,2013,559.36915
svk,2014,532.52537
svk,2015,616.8081
svk,2016,613.3466
svk,2017,618.84199
svk,2018,618.86117
svk,2019,567.44677
svk,2020,344.67466
svk,2021,359.08964
svk,2022,372.9346
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,274.53077
svn,2009,249.90064
svn,2010,269.17507
svn,2011,267.17774
svn,2012,255.47041
svn,2013,256.24294
svn,2014,265.30481
svn,2015,274.65019
svn,2016,275.41856
svn,2017,298.84424
svn,2018,330.84563
svn,2019,345.38577
svn,2020,326.84028
svn,2021,352.02855
svn,2022,410.87013
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,673.40107
esp,2009,593.02736
esp,2010,565.07334
esp,2011,534.13003
esp,2012,483.98745
esp,2013,487.39646
esp,2014,490.09753
esp,2015,520.50386
esp,2016,531.83801
esp,2017,554.73275
esp,2018,536.34334
esp,2019,543.20159
esp,2020,492.80048
esp,2021,549.75422
esp,2022,569.82051
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
