country,year,ae_cap_food
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,51.99057
fra,2009,56.87732
fra,2010,59.45582
fra,2011,47.59509
fra,2012,50.25502
fra,2013,39.86289
fra,2014,35.92589
fra,2015,37.5492
fra,2016,37.37161
fra,2017,38.29141
fra,2018,37.58041
fra,2019,37.52909
fra,2020,32.60399
fra,2021,35.4897
fra,2022,30.82851
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,48.96987
deu,2009,49.3939
deu,2010,40.7508
deu,2011,38.23809
deu,2012,35.67109
deu,2013,37.00702
deu,2014,33.81791
deu,2015,34.29696
deu,2016,34.13752
deu,2017,31.91939
deu,2018,28.61642
deu,2019,28.38585
deu,2020,27.7755
deu,2021,25.61522
deu,2022,23.96274
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,16.77256
grc,2009,14.70261
grc,2010,14.34951
grc,2011,11.72819
grc,2012,16.68903
grc,2013,17.15434
grc,2014,15.59163
grc,2015,19.93334
grc,2016,19.21968
grc,2017,17.60791
grc,2018,18.77584
grc,2019,22.04052
grc,2020,4.77087
grc,2021,6.58034
grc,2022,6.74236
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,18.90088
hun,2009,20.84414
hun,2010,20.84883
hun,2011,20.30652
hun,2012,17.32843
hun,2013,17.03192
hun,2014,19.11777
hun,2015,20.77413
hun,2016,19.40648
hun,2017,20.11396
hun,2018,21.07379
hun,2019,20.42469
hun,2020,13.97604
hun,2021,17.37356
hun,2022,15.91694
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,8.35112
isl,2009,9.03811
isl,2010,9.34853
isl,2011,8.96572
isl,2012,10.25464
isl,2013,10.76368
isl,2014,11.6424
isl,2015,12.70911
isl,2016,13.75684
isl,2017,15.09353
isl,2018,15.13773
isl,2019,15.39722
isl,2020,12.99193
isl,2021,13.17248
isl,2022,13.70623
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,74.46166
irl,2009,64.14989
irl,2010,56.54369
irl,2011,54.76507
irl,2012,54.68417
irl,2013,57.33987
irl,2014,53.89002
irl,2015,58.17946
irl,2016,50.7369
irl,2017,48.09372
irl,2018,43.51984
irl,2019,46.61167
irl,2020,45.73062
irl,2021,41.53086
irl,2022,41.84117
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,65.53233
ita,2009,66.53274
ita,2010,62.4576
ita,2011,52.76996
ita,2012,49.33555
ita,2013,49.16497
ita,2014,40.41029
ita,2015,46.46794
ita,2016,44.74856
ita,2017,45.26134
ita,2018,50.23886
ita,2019,48.34091
ita,2020,41.43784
ita,2021,47.9968
ita,2022,52.39209
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,16.94253
lva,2009,8.78674
lva,2010,10.96279
lva,2011,8.13598
lva,2012,6.37326
lva,2013,9.17643
lva,2014,10.26593
lva,2015,11.97708
lva,2016,9.5256
lva,2017,10.00205
lva,2018,7.65289
lva,2019,8.25294
lva,2020,7.43885
lva,2021,9.31646
lva,2022,9.28698
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,4.71128
ltu,2009,5.1813
ltu,2010,5.52653
ltu,2011,6.13108
ltu,2012,5.31158
ltu,2013,5.39372
ltu,2014,5.67899
ltu,2015,4.99962
ltu,2016,6.37054
ltu,2017,6.6881
ltu,2018,7.98326
