country,year,ae_ton_edu
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,79.83238
fin,2009,102.70332
fin,2010,100.5352
fin,2011,76.43672
fin,2012,71.82957
fin,2013,74.20623
fin,2014,65.64122
fin,2015,59.23987
fin,2016,61.05047
fin,2017,80.12677
fin,2018,80.23008
fin,2019,66.27162
fin,2020,72.94214
fin,2021,73.65875
fin,2022,65.07402
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,3009.12084
fra,2009,3346.99404
fra,2010,3405.87436
fra,2011,2513.1512
fra,2012,2844.76559
fra,2013,4269.45999
fra,2014,3592.57109
fra,2015,3910.39352
fra,2016,3914.91594
fra,2017,4078.97099
fra,2018,3843.18423
fra,2019,3626.16866
fra,2020,3197.12225
fra,2021,3744.45812
fra,2022,3389.41644
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,5074.16681
deu,2009,4395.93348
deu,2010,3861.34627
deu,2011,3327.08647
deu,2012,3202.93321
deu,2013,3528.27519
deu,2014,3161.37904
deu,2015,3464.66544
deu,2016,3380.13406
deu,2017,3392.55197
deu,2018,3128.0075
deu,2019,3216.45489
deu,2020,3391.69803
deu,2021,3611.72937
deu,2022,3445.92826
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,50.53218
grc,2009,44.81164
grc,2010,43.30309
grc,2011,44.16174
grc,2012,45.9746
grc,2013,35.78599
grc,2014,31.27389
grc,2015,37.74265
grc,2016,36.2635
grc,2017,33.79361
grc,2018,36.1207
grc,2019,38.8029
grc,2020,64.89516
grc,2021,58.97679
grc,2022,61.44851
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,311.88374
hun,2009,317.32513
hun,2010,326.19183
hun,2011,313.48572
hun,2012,256.56681
hun,2013,245.70611
hun,2014,245.65526
hun,2015,269.61219
hun,2016,267.47178
hun,2017,241.62605
hun,2018,227.1044
hun,2019,211.71971
hun,2020,212.77992
hun,2021,210.06014
hun,2022,193.27391
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,0.68346
isl,2009,0.7998
isl,2010,0.99759
isl,2011,0.83631
isl,2012,0.92715
isl,2013,0.90735
isl,2014,0.9056
isl,2015,0.83732
isl,2016,0.98384
isl,2017,0.86788
isl,2018,1.09687
isl,2019,0.97575
isl,2020,0.98009
isl,2021,1.26235
isl,2022,1.17928
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,121.5374
irl,2009,105.76763
irl,2010,124.52505
irl,2011,111.35258
irl,2012,115.69887
irl,2013,224.00054
irl,2014,204.34198
irl,2015,218.62743
irl,2016,226.83217
irl,2017,225.93869
irl,2018,250.70177
irl,2019,236.41689
irl,2020,241.86648
irl,2021,255.45612
irl,2022,244.61294
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1071.23295
ita,2009,1098.4008
ita,2010,1219.37399
ita,2011,1182.01979
ita,2012,1137.39387
ita,2013,1110.08083
ita,2014,1118.22432
ita,2015,999.12942
ita,2016,1096.42669
ita,2017,1021.42487
ita,2018,949.57642
ita,2019,1002.45452
ita,2020,968.5446
ita,2021,1015.21403
ita,2022,923.98043
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,59.84495
lva,2009,48.06903
lva,2010,43.90676
lva,2011,27.21113
lva,2012,24.55643
lva,2013,23.03001
lva,2014,20.87695
lva,2015,18.49684
lva,2016,20.93695
lva,2017,17.12109
lva,2018,19.39453
lva,2019,26.49583
lva,2020,20.06019
lva,2021,16.03291
lva,2022,16.03426
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,57.07171
ltu,2009,62.52748
ltu,2010,68.8028
ltu,2011,72.69859
ltu,2012,59.12536
ltu,2013,58.85281
ltu,2014,111.00865
ltu,2015,48.46066
ltu,2016,54.95843
ltu,2017,57.13774
ltu,2018,62.31065
ltu,2019,49.97127
ltu,2020,40.58294
ltu,2021,4.0499
ltu,2022,3.98586
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,22.69261
lux,2009,25.19768
lux,2010,36.05422
lux,2011,21.50003
lux,2012,36.0731
lux,2013,39.90024
lux,2014,30.14926
lux,2015,45.95084
lux,2016,60.2341
lux,2017,17.09227
lux,2018,17.39534
lux,2019,18.60518
lux,2020,33.28809
lux,2021,18.58595
lux,2022,15.83209
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,2.34086
mlt,2009,2.20266
mlt,2010,2.43039
mlt,2011,2.30584
mlt,2012,2.43946
mlt,2013,2.49152
mlt,2014,2.69282
mlt,2015,2.66792
mlt,2016,2.88324
mlt,2017,3.21259
mlt,2018,3.5299
mlt,2019,3.83993
mlt,2020,3.36932
mlt,2021,3.53238
mlt,2022,3.67541
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,719.92875
nld,2009,740.62441
nld,2010,877.32221
nld,2011,608.57672
nld,2012,704.80703
nld,2013,734.93478
nld,2014,567.80292
nld,2015,581.21381
nld,2016,661.93561
nld,2017,598.65413
nld,2018,624.3586
nld,2019,592.66121
nld,2020,540.15579
nld,2021,617.00254
nld,2022,541.35477
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,161.35865043
nzl,2009,152.87138869
nzl,2010,166.86804849
nzl,2011,161.57279229
nzl,2012,153.8514141
nzl,2013,137.62516159
nzl,2014,122.41415982
nzl,2015,122.72642846
nzl,2016,123.13959918
nzl,2017,125.38051374
nzl,2018,115.63461646
nzl,2019,125.83000454
nzl,2020,96.805647236
nzl,2021,91.895608648
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,19.62602
nor,2009,24.99685
nor,2010,35.68206
nor,2011,28.57694
nor,2012,31.42442
nor,2013,29.78868
nor,2014,28.05171
nor,2015,28.22525
nor,2016,31.75104
nor,2017,26.38878
nor,2018,25.33743
nor,2019,22.43851
nor,2020,20.31656
nor,2021,57.33041
nor,2022,56.42442
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1351.90563
pol,2009,1441.09252
pol,2010,1607.70533
pol,2011,1487.39123
pol,2012,1435.07172
pol,2013,1332.67868
pol,2014,1207.65997
pol,2015,1221.60139
pol,2016,1474.46498
pol,2017,1273.13151
pol,2018,1176.49095
pol,2019,1111.49293
pol,2020,1025.78676
pol,2021,1265.00048
pol,2022,1219.11295
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,97.2956
prt,2009,112.9428
prt,2010,98.6517
prt,2011,90.1603
prt,2012,78.7768
prt,2013,87.2477
prt,2014,80.1998
prt,2015,75.324
prt,2016,81.837
prt,2017,75.102
prt,2018,73.044
prt,2019,76.2331
prt,2020,72.7799
prt,2021,66.7638
prt,2022,64.47347
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,256.99946
rou,2009,252.5994
rou,2010,252.2126
rou,2011,240.61444
rou,2012,238.87865
rou,2013,239.94304
rou,2014,243.21144
rou,2015,244.47365
rou,2016,255.26227
rou,2017,275.46157
rou,2018,281.22997
rou,2019,283.15961
rou,2020,269.98322
rou,2021,289.1026
rou,2022,276.12913
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,136.15831
svk,2009,138.72854
svk,2010,148.9179
svk,2011,124.913
svk,2012,129.02211
svk,2013,134.34727
svk,2014,112.90121
svk,2015,109.77327
svk,2016,114.84645
svk,2017,122.69847
svk,2018,120.78289
svk,2019,122.67059
svk,2020,123.76565
svk,2021,141.90464
svk,2022,136.55269
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,127.26785
svn,2009,129.98628
svn,2010,121.45918
svn,2011,109.27033
svn,2012,88.47787
svn,2013,97.95528
svn,2014,87.91234
svn,2015,97.02078
svn,2016,110.95564
svn,2017,97.11231
svn,2018,86.51544
svn,2019,84.83611
svn,2020,82.15142
svn,2021,72.23158
svn,2022,77.51182
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,532.48534
esp,2009,562.55489
esp,2010,653.97969
esp,2011,642.78989
esp,2012,580.44934
esp,2013,514.26571
esp,2014,503.31928
esp,2015,491.24093
esp,2016,509.18254
esp,2017,524.19199
esp,2018,537.94773
esp,2019,536.52363
esp,2020,491.34307
esp,2021,540.64382
esp,2022,523.02527
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,138.63282
swe,2009,144.63573
swe,2010,149.22301
swe,2011,134.22926
swe,2012,131.18851
swe,2013,125.37597
swe,2014,115.02003
swe,2015,115.33674
swe,2016,109.08519
swe,2017,102.51267
swe,2018,102.26173
swe,2019,107.62153
swe,2020,93.08932
swe,2021,90.57608
swe,2022,79.365
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,82.02623
che,2009,79.0676
che,2010,86.13819
che,2011,77.13602
che,2012,80.95987
che,2013,90.034
che,2014,75.44921
che,2015,73.37703
che,2016,73.26994
che,2017,68.8848
che,2018,61.77013
che,2019,65.22767
che,2020,54.35359
che,2021,67.13171
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,3384.7
gbr,2009,3147.2
gbr,2010,3387.9
gbr,2011,2772.1
gbr,2012,3074.1
gbr,2013,3008.9
gbr,2014,2608
gbr,2015,2829.5
gbr,2016,2778.5
gbr,2017,2872.3
gbr,2018,2741.9
gbr,2019,2468.7
gbr,2020,2059.9
gbr,2021,2328.5
gbr,2022,2147.1
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,15017.55186
eu_three,2009,14762.0231
eu_three,2010,14757.75371
eu_three,2011,12566.35802
eu_three,2012,12492.50547
eu_three,2013,14101.17081
eu_three,2014,12627.95917
eu_three,2015,13122.6265
eu_three,2016,13505.05198
eu_three,2017,13182.99395
eu_three,2018,12638.00483
eu_three,2019,12338.65733
eu_three,2020,11817.42787
eu_three,2021,13056.64623
eu_three,2022,12170.61292
eu_three,2023,
