country,year,ae_cap_prof
deu,2005,
deu,2006,
deu,2007,
deu,2008,113.0089
deu,2009,109.05857
deu,2010,103.11197
deu,2011,101.17039
deu,2012,102.76949
deu,2013,109.53639
deu,2014,43.33041
deu,2015,44.98742
deu,2016,47.17271
deu,2017,49.4733
deu,2018,48.89106
deu,2019,52.02743
deu,2020,50.19714
deu,2021,52.04051
deu,2022,48.58164
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,16.5166
grc,2009,14.38276
grc,2010,13.65668
grc,2011,11.08677
grc,2012,12.31742
grc,2013,10.17635
grc,2014,6.55923
grc,2015,8.47824
grc,2016,8.24131
grc,2017,7.59002
grc,2018,7.30878
grc,2019,8.60324
grc,2020,9.72331
grc,2021,9.71988
grc,2022,10.12116
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,36.89744
hun,2009,38.59038
hun,2010,42.93282
hun,2011,42.94551
hun,2012,35.72684
hun,2013,37.96628
hun,2014,35.30216
hun,2015,39.64482
hun,2016,39.13928
hun,2017,38.26532
hun,2018,38.58872
hun,2019,37.59183
hun,2020,36.69208
hun,2021,39.22126
hun,2022,36.07901
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,17.19263
isl,2009,17.03542
isl,2010,15.95229
isl,2011,14.30315
isl,2012,15.02047
isl,2013,14.433
isl,2014,14.31653
isl,2015,14.29781
isl,2016,15.48401
isl,2017,15.66077
isl,2018,16.08897
isl,2019,14.17538
isl,2020,12.51847
isl,2021,14.47448
isl,2022,13.16563
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,37.18162
irl,2009,32.0114
irl,2010,30.51679
irl,2011,30.55219
irl,2012,36.63043
irl,2013,44.47514
irl,2014,40.9259
irl,2015,43.67297
irl,2016,45.42119
irl,2017,44.66188
irl,2018,47.09261
irl,2019,42.26295
irl,2020,56.99126
irl,2021,40.8984
irl,2022,41.73023
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,40.33278
ita,2009,30.31878
ita,2010,27.69818
ita,2011,27.30923
ita,2012,25.9891
ita,2013,24.07393
ita,2014,20.91012
ita,2015,21.76313
ita,2016,21.25977
ita,2017,20.87368
ita,2018,22.6881
ita,2019,22.86131
ita,2020,21.01608
ita,2021,23.39545
ita,2022,22.42594
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,33.4318
