country,year,ae_ton_info
fra,2012,1142.16176
fra,2013,1099.22767
fra,2014,1008.85309
fra,2015,1078.70948
fra,2016,1099.43099
fra,2017,1158.28185
fra,2018,1151.69335
fra,2019,1176.26969
fra,2020,1023.399
fra,2021,1157.83126
fra,2022,990.78346
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,4295.16213
deu,2009,3324.95983
deu,2010,3077.36844
deu,2011,3305.03232
deu,2012,3453.45255
deu,2013,3561.32733
deu,2014,1496.34383
deu,2015,1510.7915
deu,2016,1513.95099
deu,2017,1533.88732
deu,2018,1470.29098
deu,2019,1520.0128
deu,2020,1529.63864
deu,2021,1586.30477
deu,2022,1508.38571
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,61.52823
grc,2009,56.81073
grc,2010,47.05895
grc,2011,43.24221
grc,2012,45.34409
grc,2013,49.07676
grc,2014,43.09097
grc,2015,36.34575
grc,2016,41.06229
grc,2017,36.12692
grc,2018,32.09975
grc,2019,37.33952
grc,2020,37.91404
grc,2021,41.8102
grc,2022,41.63942
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,432.58477
hun,2009,452.86159
hun,2010,451.60231
hun,2011,452.99307
hun,2012,376.14385
hun,2013,385.99953
hun,2014,362.38976
hun,2015,375.27732
hun,2016,349.23142
hun,2017,327.13604
hun,2018,312.03963
hun,2019,289.63106
hun,2020,280.05595
hun,2021,303.92875
hun,2022,271.45899
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,3.39833
isl,2009,3.30011
isl,2010,3.1049
isl,2011,2.92501
isl,2012,2.95917
isl,2013,3.3225
isl,2014,3.13218
isl,2015,2.91317
isl,2016,2.95709
isl,2017,3.10102
isl,2018,3.3811
isl,2019,3.13043
isl,2020,2.50489
isl,2021,2.7288
isl,2022,2.98724
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,121.16778
irl,2009,107.79246
irl,2010,84.60899
irl,2011,81.63012
irl,2012,99.53972
irl,2013,116.88715
irl,2014,109.25394
irl,2015,148.01213
irl,2016,132.88476
irl,2017,123.28338
irl,2018,119.55437
irl,2019,150.83696
irl,2020,165.9706
irl,2021,165.67794
irl,2022,165.30495
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,479.41892
ita,2009,471.00149
ita,2010,434.15273
ita,2011,385.57151
ita,2012,365.48462
ita,2013,353.70285
ita,2014,318.0513
ita,2015,331.60369
ita,2016,327.38843
ita,2017,329.4641
ita,2018,356.32394
ita,2019,350.47065
ita,2020,307.00422
ita,2021,361.92652
ita,2022,344.33842
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,27.19251
lva,2009,21.27094
lva,2010,27.98069
lva,2011,17.68233
lva,2012,13.71259
lva,2013,15.40572
lva,2014,8.79717
lva,2015,12.1367
lva,2016,12.75545
lva,2017,10.62979
lva,2018,10.50019
lva,2019,14.26775
lva,2020,9.78105
lva,2021,10.08602
lva,2022,9.90346
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,11.26414
ltu,2009,11.63187
ltu,2010,12.11611
ltu,2011,14.73362
ltu,2012,13.45755
ltu,2013,12.13291
ltu,2014,13.84627
ltu,2015,13.33643
ltu,2016,31.42791
ltu,2017,33.46672
ltu,2018,43.20597
ltu,2019,51.24152
ltu,2020,35.08665
ltu,2021,20.37436
ltu,2022,20.09839
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,45.26908
lux,2009,54.5497
lux,2010,77.8512
lux,2011,66.87212
lux,2012,42.62985
lux,2013,43.54327
lux,2014,36.52815
lux,2015,44.10016
lux,2016,41.69785
lux,2017,39.20876
lux,2018,37.19349
lux,2019,46.76496
lux,2020,39.86502
lux,2021,17.47519
lux,2022,14.86538
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,4.75235
mlt,2009,4.50474
mlt,2010,4.91392
mlt,2011,4.75488
mlt,2012,4.93399
mlt,2013,5.04815
mlt,2014,5.61872
mlt,2015,5.94537
mlt,2016,5.77015
mlt,2017,5.99222
mlt,2018,6.6041
mlt,2019,8.23991
mlt,2020,8.11196
mlt,2021,8.80024
mlt,2022,9.25159
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,306.04027
nld,2009,294.25908
nld,2010,376.46564
nld,2011,328.31284
nld,2012,336.31674
nld,2013,298.50262
nld,2014,279.44272
nld,2015,295.85662
nld,2016,282.72301
nld,2017,220.7024
nld,2018,210.92242
nld,2019,199.64249
nld,2020,166.82459
nld,2021,166.17377
nld,2022,161.34373
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,83.80932863
nzl,2009,82.706507199
nzl,2010,73.272062972
nzl,2011,64.501863215
nzl,2012,63.112335091
nzl,2013,60.556961575
nzl,2014,59.477000728
nzl,2015,58.298272651
nzl,2016,58.306489742
nzl,2017,60.976975169
nzl,2018,59.910555976
nzl,2019,58.91196159
nzl,2020,48.532665756
nzl,2021,45.891661774
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,28.48539
nor,2009,27.83097
nor,2010,37.7321
nor,2011,31.98
nor,2012,32.08654
nor,2013,32.48503
nor,2014,30.0106
nor,2015,28.04086
nor,2016,25.61742
nor,2017,19.68201
nor,2018,20.03865
nor,2019,19.00743
nor,2020,15.99292
nor,2021,16.27569
nor,2022,15.80334
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1252.41978
pol,2009,1288.21356
pol,2010,1407.17018
pol,2011,1403.41824
pol,2012,1374.69569
pol,2013,1318.08831
pol,2014,1373.33871
pol,2015,1477.19214
pol,2016,2836.40028
pol,2017,3250.01757
pol,2018,3153.91103
pol,2019,2813.18875
pol,2020,2110.75578
pol,2021,2531.13264
pol,2022,2386.26806
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,91.2864
prt,2009,87.916
prt,2010,84.6875
prt,2011,68.7918
prt,2012,65.7052
prt,2013,66.5197
prt,2014,66.5057
prt,2015,62.4012
prt,2016,63.4706
prt,2017,60.2102
prt,2018,65.1373
prt,2019,68.9114
prt,2020,63.1795
prt,2021,87.8072
prt,2022,82.02044
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,305.25126
rou,2009,300.97255
rou,2010,289.5912
rou,2011,280.35844
rou,2012,290.15509
rou,2013,285.88191
rou,2014,294.35898
rou,2015,296.17722
rou,2016,312.55331
rou,2017,333.72124
rou,2018,342.55674
rou,2019,344.80833
rou,2020,328.36637
rou,2021,351.52695
rou,2022,333.90992
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,41.86055
svk,2009,47.19066
svk,2010,54.4569
svk,2011,52.68415
svk,2012,60.4781
svk,2013,56.87388
svk,2014,46.40667
svk,2015,41.12277
svk,2016,47.00345
svk,2017,49.34699
svk,2018,51.63779
svk,2019,63.02597
svk,2020,54.81588
svk,2021,61.4715
svk,2022,57.66585
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,45.02294
svn,2009,43.52207
svn,2010,45.72759
svn,2011,42.43773
svn,2012,37.32251
svn,2013,38.32162
svn,2014,39.57656
svn,2015,42.83888
svn,2016,46.53467
svn,2017,48.1551
svn,2018,50.21322
svn,2019,52.1388
svn,2020,45.14859
svn,2021,49.88793
svn,2022,51.47309
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
