country,year,ae_cap_const
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,132.34805
fra,2009,122.78712
fra,2010,120.84539
fra,2011,137.70986
fra,2012,131.27933
fra,2013,132.48776
fra,2014,131.21903
fra,2015,130.96579
fra,2016,131.61842
fra,2017,132.31695
fra,2018,132.13023
fra,2019,132.1507
fra,2020,116.1662
fra,2021,128.3283
fra,2022,124.60706
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,109.26835
deu,2009,107.52627
deu,2010,110.80435
deu,2011,112.53151
deu,2012,112.47591
deu,2013,116.39594
deu,2014,107.96509
deu,2015,115.75994
deu,2016,117.85781
deu,2017,119.86451
deu,2018,114.94741
deu,2019,116.41377
deu,2020,117.78293
deu,2021,120.87025
deu,2022,106.2899
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,65.50195
grc,2009,84.33658
grc,2010,55.35154
grc,2011,60.44207
grc,2012,34.4217
grc,2013,42.2883
grc,2014,43.49532
grc,2015,41.09891
grc,2016,43.53346
grc,2017,36.07088
grc,2018,40.02597
grc,2019,33.46449
grc,2020,33.66082
grc,2021,37.4308
grc,2022,40.39948
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,84.34109
hun,2009,74.51601
hun,2010,75.32808
hun,2011,68.52743
hun,2012,62.3477
hun,2013,82.27513
hun,2014,92.35046
hun,2015,102.1659
hun,2016,105.09414
hun,2017,107.32361
hun,2018,124.90216
hun,2019,122.19161
hun,2020,119.97831
hun,2021,130.37649
hun,2022,115.77363
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,870.94182
isl,2009,648.8324
isl,2010,526.13845
isl,2011,457.50465
isl,2012,457.86365
isl,2013,438.76059
isl,2014,491.46283
isl,2015,500.77352
isl,2016,568.89717
isl,2017,603.37172
isl,2018,523.50648
isl,2019,561.38637
isl,2020,360.34283
isl,2021,304.18987
isl,2022,357.51796
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,34.7403
irl,2009,30.10479
irl,2010,48.85105
irl,2011,15.99446
irl,2012,36.17244
irl,2013,57.77207
irl,2014,64.73879
irl,2015,61.29844
irl,2016,64.92569
irl,2017,75.29316
irl,2018,80.39075
irl,2019,103.01456
irl,2020,101.31395
irl,2021,132.14228
irl,2022,132.88592
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,107.24849
ita,2009,100.89374
ita,2010,98.48346
ita,2011,108.3739
ita,2012,101.251
ita,2013,97.16266
ita,2014,99.9833
ita,2015,99.45892
ita,2016,96.97288
ita,2017,94.75866
ita,2018,97.33801
ita,2019,100.18579
ita,2020,81.12002
ita,2021,134.53805
ita,2022,139.52875
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,183.04545
lva,2009,122.82445
lva,2010,121.14405
lva,2011,128.89601
lva,2012,134.16395
lva,2013,116.48976
lva,2014,113.98105
lva,2015,128.2544
lva,2016,115.04225
lva,2017,116.46659
lva,2018,118.64138
lva,2019,122.18108
lva,2020,110.18216
lva,2021,130.24201
lva,2022,120.21593
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,38.55616
ltu,2009,25.86259
ltu,2010,26.74335
ltu,2011,25.51962
ltu,2012,25.46731
ltu,2013,27.86965
ltu,2014,73.59957
ltu,2015,82.32641
ltu,2016,62.45961
ltu,2017,64.96743
ltu,2018,64.71917
