country,year,ae_cap_finance
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,17.63653
fra,2009,18.33355
fra,2010,18.65823
fra,2011,16.30352
fra,2012,17.10578
fra,2013,16.2181
fra,2014,15.24766
fra,2015,16.08643
fra,2016,16.37437
fra,2017,16.67931
fra,2018,16.78015
fra,2019,16.48235
fra,2020,13.76087
fra,2021,15.65672
fra,2022,13.79825
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,25.42085
deu,2009,23.0768
deu,2010,20.92453
deu,2011,19.27339
deu,2012,20.51196
deu,2013,22.57902
deu,2014,20.37276
deu,2015,19.74646
deu,2016,19.56
deu,2017,19.41352
deu,2018,17.53222
deu,2019,17.81796
deu,2020,18.10287
deu,2021,18.76014
deu,2022,17.68737
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1.84517
grc,2009,1.6765
grc,2010,1.63806
grc,2011,1.5635
grc,2012,2.1278
grc,2013,1.65149
grc,2014,1.09467
grc,2015,1.34947
grc,2016,1.49727
grc,2017,1.36149
grc,2018,1.24005
grc,2019,1.30978
grc,2020,2.05911
grc,2021,1.67108
grc,2022,1.76782
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,27.62496
hun,2009,32.6824
hun,2010,34.54088
hun,2011,34.95146
hun,2012,27.67963
hun,2013,26.17898
hun,2014,23.65185
hun,2015,23.61019
hun,2016,21.70523
hun,2017,21.36221
hun,2018,20.17218
hun,2019,20.26121
hun,2020,20.44729
hun,2021,21.36804
hun,2022,19.74209
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,534.28524
isl,2009,523.72149
isl,2010,488.64618
isl,2011,426.64788
isl,2012,357.36649
isl,2013,317.49367
isl,2014,267.3631
isl,2015,224.03344
isl,2016,187.94156
isl,2017,158.30468
isl,2018,131.32651
isl,2019,105.36366
isl,2020,91.58781
isl,2021,79.67748
isl,2022,8.50635
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,7.32104
irl,2009,6.30748
irl,2010,9.75508
irl,2011,12.44188
irl,2012,11.61418
irl,2013,8.75599
irl,2014,5.61735
irl,2015,7.15372
irl,2016,7.02374
irl,2017,8.39376
irl,2018,9.35523
irl,2019,10.68835
irl,2020,15.6808
irl,2021,12.62356
irl,2022,12.33676
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,11.42474
ita,2009,11.50838
ita,2010,10.63431
ita,2011,9.43977
ita,2012,9.07424
ita,2013,8.86196
ita,2014,7.65092
ita,2015,9.72374
ita,2016,9.72613
ita,2017,10.04596
ita,2018,10.45482
ita,2019,10.99106
ita,2020,9.19185
ita,2021,11.5953
ita,2022,10.28047
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,6.69436
lva,2009,4.92692
lva,2010,5.31521
lva,2011,3.10665
lva,2012,3.45133
lva,2013,3.32389
lva,2014,2.86239
lva,2015,3.38393
lva,2016,3.68578
lva,2017,3.15622
lva,2018,6.44579
lva,2019,3.94303
lva,2020,3.04674
lva,2021,2.4949
lva,2022,2.46119
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2.80119
ltu,2009,3.64051
ltu,2010,3.69784
ltu,2011,3.65728
ltu,2012,3.20059
ltu,2013,3.02443
ltu,2014,3.29356
ltu,2015,4.56255
ltu,2016,7.97446
ltu,2017,9.96458
ltu,2018,9.683
