country,year,ae_ton_air
fra,2006,
fra,2007,
fra,2008,21192.41029
fra,2009,19789.48956
fra,2010,19542.90651
fra,2011,20256.75784
fra,2012,19698.24025
fra,2013,19340.34395
fra,2014,18747.81869
fra,2015,19384.86152
fra,2016,19012.50045
fra,2017,19283.7995
fra,2018,19704.11551
fra,2019,20419.7016
fra,2020,9942.54334
fra,2021,10799.14414
fra,2022,13423.50708
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,31160.06338
deu,2009,28976.21133
deu,2010,27932.10211
deu,2011,26839.49527
deu,2012,29315.32732
deu,2013,29295.10498
deu,2014,28127.20994
deu,2015,27519.91692
deu,2016,29244.30056
deu,2017,30721.08558
deu,2018,30763.54182
deu,2019,29459.86964
deu,2020,12622.83451
deu,2021,16668.16856
deu,2022,23997.7872
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1288.97798
grc,2009,1253.25164
grc,2010,1095.05528
grc,2011,1180.04634
grc,2012,1068.96978
grc,2013,962.19161
grc,2014,1113.99059
grc,2015,1284.09803
grc,2016,1408.00901
grc,2017,1450.00198
grc,2018,1555.94906
grc,2019,1593.03861
grc,2020,661.52068
grc,2021,1030.82128
grc,2022,1209.56971
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2960.56026
hun,2009,2641.57123
hun,2010,2694.00849
hun,2011,3311.69424
hun,2012,1584.67579
hun,2013,1715.51247
hun,2014,1842.78754
hun,2015,1931.15616
hun,2016,2174.26368
hun,2017,2788.72037
hun,2018,3339.3325
hun,2019,2971.12691
hun,2020,1784.37745
hun,2021,2252.84008
hun,2022,4447.70453
hun,2023,
isl,1990,
isl,1991,
