country,year,ae_ton_prof
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,36.39468
fin,2009,35.09519
fin,2010,35.17602
fin,2011,34.93073
fin,2012,33.32971
fin,2013,39.60524
fin,2014,39.51397
fin,2015,62.37487
fin,2016,78.93074
fin,2017,51.59999
fin,2018,16.18777
fin,2019,10.10596
fin,2020,11.45734
fin,2021,13.80445
fin,2022,12.55954
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,2617.82458
fra,2009,2849.94171
fra,2010,2919.00724
fra,2011,2413.90829
fra,2012,2592.62729
fra,2013,2283.4584
fra,2014,2127.82757
fra,2015,2267.34859
fra,2016,2335.13048
fra,2017,2419.56509
fra,2018,2430.62099
fra,2019,2591.71149
fra,2020,2225.24695
fra,2021,2366.24953
fra,2022,2082.74691
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9279.17213
deu,2009,8932.14861
deu,2010,8432.18059
deu,2011,8121.45151
deu,2012,8265.32114
deu,2013,8833.62814
deu,2014,3509.00469
deu,2015,3674.86959
deu,2016,3884.60964
deu,2017,4089.31486
deu,2018,4053.35149
deu,2019,4323.11357
deu,2020,4174.4383
deu,2021,4329.56657
deu,2022,4071.04322
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,182.96824
grc,2009,159.74956
grc,2010,151.88062
grc,2011,123.11743
grc,2012,136.04599
grc,2013,111.58587
grc,2014,71.44579
grc,2015,91.74206
grc,2016,88.80808
grc,2017,81.62825
grc,2018,78.4443
grc,2019,92.24029
grc,2020,104.02575
grc,2021,102.73144
grc,2022,105.53248
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,370.38345
hun,2009,386.77785
hun,2010,429.3292
hun,2011,428.24087
hun,2012,354.42321
hun,2013,375.60356
hun,2014,348.30765
hun,2015,390.22511
hun,2016,384.11383
hun,2017,374.53963
hun,2018,377.22651
hun,2019,367.3151
hun,2020,357.7532
hun,2021,380.83413
hun,2022,347.91162
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,5.45718
isl,2009,5.42576
isl,2010,5.07348
isl,2011,4.56291
isl,2012,4.81731
isl,2013,4.67289
isl,2014,4.68703
isl,2015,4.72993
isl,2016,5.19394
isl,2017,5.37791
isl,2018,5.67492
isl,2019,5.11112
isl,2020,4.58756
isl,2021,5.39203
isl,2022,5.02931
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,166.92854
irl,2009,145.18369
irl,2010,139.16128
irl,2011,139.93161
irl,2012,168.48287
irl,2013,205.64485
irl,2014,190.6222
irl,2015,205.34842
irl,2016,215.99298
irl,2017,214.70697
irl,2018,229.21463
irl,2019,208.53976
irl,2020,284.12321
irl,2021,205.84835
irl,2022,213.95796
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,2372.64554
ita,2009,1791.69934
ita,2010,1641.87641
ita,2011,1621.60695
ita,2012,1547.38361
ita,2013,1450.06798
ita,2014,1271.10817
ita,2015,1321.68746
ita,2016,1288.92692
ita,2017,1263.62384
ita,2018,1370.85484
ita,2019,1365.4852
ita,2020,1249.17173
ita,2021,1383.44742
ita,2022,1321.79461
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,72.7918
lva,2009,39.24892
lva,2010,41.56505
lva,2011,28.20325
lva,2012,38.05697
lva,2013,33.50788
lva,2014,25.97151
lva,2015,31.27868
lva,2016,38.46522
lva,2017,45.01886
lva,2018,35.71651
lva,2019,36.19411
lva,2020,24.14155
lva,2021,23.62096
lva,2022,23.16738
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,23.25993
ltu,2009,22.66994
ltu,2010,24.98841
ltu,2011,31.92285
ltu,2012,25.01545
ltu,2013,27.2243
ltu,2014,74.19301
ltu,2015,36.82248
ltu,2016,45.11676
ltu,2017,47.07317
ltu,2018,57.80351
ltu,2019,54.049
ltu,2020,37.37097
ltu,2021,26.1007
ltu,2022,25.73353
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,19.02069
lux,2009,17.93878
lux,2010,20.82608
lux,2011,23.76008
lux,2012,33.02353
lux,2013,40.28326
lux,2014,34.28041
lux,2015,43.40913
lux,2016,40.16829
lux,2017,48.2821
lux,2018,95.58857
lux,2019,52.56147
lux,2020,77.00406
lux,2021,50.21838
lux,2022,42.72338
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,25.35329
mlt,2009,26.89067
mlt,2010,29.32111
mlt,2011,31.09391
mlt,2012,35.68804
mlt,2013,37.4111
mlt,2014,38.56721
mlt,2015,39.26457
mlt,2016,40.57936
mlt,2017,40.08908
mlt,2018,39.28836
mlt,2019,38.12712
mlt,2020,35.61834
mlt,2021,36.10061
mlt,2022,35.68326
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,947.28169
nld,2009,923.23936
nld,2010,837.06864
nld,2011,700.44107
nld,2012,731.04279
nld,2013,720.26612
nld,2014,699.44028
nld,2015,750.31731
nld,2016,738.60285
nld,2017,785.61889
nld,2018,774.08594
nld,2019,778.27046
nld,2020,675.16849
nld,2021,704.93818
nld,2022,680.79144
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,132.07209917
nzl,2009,132.08923916
nzl,2010,144.5511433
nzl,2011,131.93126597
nzl,2012,134.195879
nzl,2013,138.99812528
nzl,2014,135.35686067
nzl,2015,130.73695215
nzl,2016,125.78102026
nzl,2017,136.54446532
nzl,2018,132.43512402
nzl,2019,133.0588
nzl,2020,115.09871318
nzl,2021,113.5076623
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,113.52541
nor,2009,117.17581
nor,2010,129.59922
nor,2011,143.45769
nor,2012,148.32961
nor,2013,162.78262
nor,2014,143.52549
nor,2015,126.68826
nor,2016,115.40702
nor,2017,111.24385
nor,2018,102.84178
nor,2019,82.42139
nor,2020,74.60116
nor,2021,94.80641
nor,2022,91.66464
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3560.1817
pol,2009,3582.9047
pol,2010,3911.54183
pol,2011,3880.22844
pol,2012,3763.87754
pol,2013,3590.65519
pol,2014,3780.47339
pol,2015,4040.38071
pol,2016,3214.07096
pol,2017,3227.29276
pol,2018,3321.50589
pol,2019,2820.81214
pol,2020,2721.66
pol,2021,3201.00404
pol,2022,3062.43203
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,147.0773
prt,2009,148.1282
prt,2010,150.7444
prt,2011,135.3304
prt,2012,129.317
prt,2013,129.139
prt,2014,140.0894
prt,2015,139.2821
prt,2016,142.5348
prt,2017,147.5014
prt,2018,156.3164
prt,2019,162.3476
prt,2020,163.1461
prt,2021,193.3484
prt,2022,184.18908
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,553.98534
rou,2009,544.59418
rou,2010,523.49827
rou,2011,505.71316
rou,2012,524.23578
rou,2013,514.00609
rou,2014,528.83885
rou,2015,531.67022
rou,2016,560.60671
rou,2017,597.52145
rou,2018,611.73305
rou,2019,615.00429
rou,2020,583.60222
rou,2021,625.58525
rou,2022,593.38106
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,470.85192
svk,2009,473.69947
svk,2010,507.69717
svk,2011,415.91968
svk,2012,439.00677
svk,2013,452.79564
svk,2014,381.01512
svk,2015,381.07449
svk,2016,398.10512
svk,2017,429.14684
svk,2018,398.24743
svk,2019,382.56882
svk,2020,349.99814
svk,2021,397.85722
svk,2022,377.38164
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,140.47117
svn,2009,191.52342
svn,2010,192.16699
svn,2011,174.8181
svn,2012,149.75484
svn,2013,153.84232
svn,2014,170.49717
svn,2015,184.79128
svn,2016,189.21881
svn,2017,184.11631
svn,2018,182.98677
svn,2019,188.15699
svn,2020,188.8289
svn,2021,187.46126
svn,2022,198.4464
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,459.29989
esp,2009,494.70233
esp,2010,597.40453
esp,2011,621.89334
esp,2012,560.38756
esp,2013,462.00789
esp,2014,381.30961
esp,2015,366.60611
esp,2016,402.22851
esp,2017,429.27237
esp,2018,457.43536
esp,2019,445.50501
esp,2020,446.57021
esp,2021,489.57376
esp,2022,457.47772
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,553.96951
swe,2009,540.50043
swe,2010,532.0106
swe,2011,535.16112
swe,2012,492.2492
swe,2013,476.11419
swe,2014,458.19267
swe,2015,452.4217
swe,2016,425.5009
swe,2017,409.13978
swe,2018,397.92589
swe,2019,398.31638
swe,2020,364.67617
swe,2021,315.44131
swe,2022,281.98002
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,614.44547
che,2009,622.19096
che,2010,685.59333
che,2011,606.17267
che,2012,665.02512
che,2013,687.74656
che,2014,573.25553
che,2015,600.48689
che,2016,566.29593
che,2017,554.56509
che,2018,596.95614
che,2019,604.45368
che,2020,551.16003
che,2021,599.40209
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,2463.4
gbr,2009,2050.2
gbr,2010,2138.9
gbr,2011,2003.1
gbr,2012,2114.9
gbr,2013,2050.6
gbr,2014,1903.4
gbr,2015,1963.6
gbr,2016,2012.8
gbr,2017,1928.9
gbr,2018,1850.6
gbr,2019,1833.6
gbr,2020,1549.2
gbr,2021,1709.5
gbr,2022,1643.7
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,23718.44332
eu_three,2009,23147.94274
eu_three,2010,23126.21182
eu_three,2011,21754.25367
eu_three,2012,21827.83669
eu_three,2013,21780.97352
eu_three,2014,15896.99576
eu_three,2015,16762.86238
eu_three,2016,16382.22945
eu_three,2017,16785.85228
eu_three,2018,17075.80419
eu_three,2019,16996.25434
eu_three,2020,15954.53657
eu_three,2021,17098.66669
eu_three,2022,15998.23561
eu_three,2023,
