country,year,ae_ton_other
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,148.14776
fin,2009,90.23871
fin,2010,94.14238
fin,2011,92.33288
fin,2012,106.00188
fin,2013,99.81252
fin,2014,97.88539
fin,2015,99.81387
fin,2016,105.59701
fin,2017,90.77488
fin,2018,92.41143
fin,2019,85.51134
fin,2020,80.68147
fin,2021,95.48181
fin,2022,85.8135
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,1747.05491
fra,2009,1861.23036
fra,2010,1870.73957
fra,2011,1606.3495
fra,2012,1665.32708
fra,2013,1499.52062
fra,2014,1445.67587
fra,2015,1481.84719
fra,2016,1459.72562
fra,2017,1487.43613
fra,2018,1400.39782
fra,2019,1260.74794
fra,2020,1183.15276
fra,2021,1243.80073
fra,2022,1093.37511
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,4298.3499
deu,2009,3719.70526
deu,2010,3700.57971
deu,2011,3408.13243
deu,2012,3456.25386
deu,2013,3775.18056
deu,2014,5751.92578
deu,2015,5905.18155
deu,2016,5911.67687
deu,2017,5831.45059
deu,2018,5516.74573
deu,2019,5423.45666
deu,2020,4803.05971
deu,2021,4801.81548
deu,2022,4595.5921
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,70.45286
grc,2009,62.34093
grc,2010,60.35472
grc,2011,58.68944
grc,2012,63.69177
grc,2013,40.62661
grc,2014,35.28823
grc,2015,60.33131
grc,2016,53.97543
grc,2017,44.46346
grc,2018,39.75763
grc,2019,41.52589
grc,2020,52.11677
grc,2021,49.21316
grc,2022,51.6927
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,141.45298
hun,2009,140.45085
hun,2010,141.89283
hun,2011,141.6301
hun,2012,124.47977
hun,2013,131.76124
hun,2014,120.68149
hun,2015,119.41909
hun,2016,103.47577
hun,2017,97.38819
hun,2018,92.61444
hun,2019,89.69747
hun,2020,72.87828
hun,2021,77.37023
hun,2022,72.80046
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1.47459
isl,2009,1.62822
isl,2010,1.68259
isl,2011,1.56487
isl,2012,1.51591
isl,2013,1.54366
isl,2014,1.49103
isl,2015,1.6667
isl,2016,1.79995
isl,2017,1.65889
isl,2018,1.72757
isl,2019,1.75742
isl,2020,1.43177
isl,2021,1.46974
isl,2022,1.62109
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,67.94502
irl,2009,59.12199
irl,2010,47.8302
irl,2011,80.85321
irl,2012,68.68506
irl,2013,98.88796
irl,2014,94.2277
irl,2015,96.56454
irl,2016,140.01472
irl,2017,150.00645
irl,2018,165.86479
irl,2019,133.51713
irl,2020,95.32325
irl,2021,107.1368
irl,2022,109.0406
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,972.06413
ita,2009,991.61249
ita,2010,919.45453
ita,2011,809.17365
ita,2012,780.71543
ita,2013,765.71352
ita,2014,696.13104
ita,2015,754.91395
ita,2016,734.34748
ita,2017,734.305
ita,2018,808.04596
ita,2019,790.90784
ita,2020,640.13839
ita,2021,791.07312
ita,2022,758.42287
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,17.22192
lva,2009,10.1843
lva,2010,9.66706
lva,2011,60.98991
lva,2012,59.31479
lva,2013,9.6687
lva,2014,8.65694
lva,2015,10.32491
lva,2016,12.01633
lva,2017,13.09804
lva,2018,12.40047
lva,2019,10.79816
lva,2020,10.85986
lva,2021,9.17335
lva,2022,9.03046
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,13.20316
ltu,2009,14.80106
ltu,2010,14.85337
ltu,2011,16.87136
ltu,2012,13.53072
ltu,2013,14.5457
ltu,2014,17.1645
ltu,2015,14.32303
ltu,2016,21.84298
ltu,2017,23.29234
ltu,2018,28.12462
ltu,2019,26.18356
ltu,2020,17.07498
ltu,2021,9.17838
ltu,2022,9.04703
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,5.31496
lux,2009,5.30358
lux,2010,8.47357
lux,2011,9.14485
lux,2012,8.98199
lux,2013,10.59903
lux,2014,8.52694
lux,2015,12.24375
lux,2016,15.78356
lux,2017,11.20866
lux,2018,10.06606
lux,2019,11.68092
lux,2020,8.76529
lux,2021,7.45365
lux,2022,6.34888
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,13.27765
mlt,2009,11.7295
mlt,2010,14.91672
mlt,2011,11.38471
mlt,2012,15.74858
mlt,2013,16.16782
mlt,2014,15.42506
mlt,2015,14.99312
mlt,2016,11.78733
mlt,2017,11.72414
mlt,2018,11.9407
mlt,2019,13.68645
mlt,2020,13.62357
mlt,2021,15.23798
mlt,2022,16.00391
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,587.70168
nld,2009,602.10843
nld,2010,605.43965
nld,2011,535.41371
nld,2012,549.91208
nld,2013,555.07123
nld,2014,477.41334
nld,2015,502.12368
nld,2016,491.91665
nld,2017,468.76981
nld,2018,457.56563
nld,2019,425.85187
nld,2020,363.75571
nld,2021,380.64009
nld,2022,343.38903
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,14.081043247
nzl,2009,13.318981819
nzl,2010,15.853744239
nzl,2011,19.477613999
nzl,2012,19.148259164
nzl,2013,15.625887945
nzl,2014,14.826772979
nzl,2015,15.19264633
nzl,2016,15.333138727
nzl,2017,17.131960774
nzl,2018,16.374547368
nzl,2019,19.561473793
nzl,2020,19.429156778
nzl,2021,19.735215702
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,36.53307
nor,2009,38.95271
nor,2010,76.62802
nor,2011,61.09795
nor,2012,53.92875
nor,2013,62.92638
nor,2014,65.57059
nor,2015,54.00754
nor,2016,62.72878
nor,2017,49.08931
nor,2018,49.69537
nor,2019,42.79697
nor,2020,44.06821
nor,2021,45.9652
nor,2022,44.05023
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1072.75744
pol,2009,1104.78929
pol,2010,1200.74083
pol,2011,1212.21149
pol,2012,1181.12288
pol,2013,1167.63228
pol,2014,1193.32937
pol,2015,1268.5825
pol,2016,798.63732
pol,2017,930.70637
pol,2018,870.58302
pol,2019,813.72764
pol,2020,730.88981
pol,2021,854.58625
pol,2022,833.83372
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,70.2425
prt,2009,78.9114
prt,2010,70.6992
prt,2011,63.0756
prt,2012,58.7203
prt,2013,60.3455
prt,2014,60.2548
prt,2015,61.3057
prt,2016,58.6421
prt,2017,55.8072
prt,2018,61.1805
prt,2019,61.8979
prt,2020,53.9265
prt,2021,53.8637
prt,2022,52.09407
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,312.71753
rou,2009,308.59027
rou,2010,295.29225
rou,2011,287.71454
rou,2012,301.73472
rou,2013,297.31882
rou,2014,307.06135
rou,2015,309.66687
rou,2016,327.66688
rou,2017,348.15493
rou,2018,355.38785
rou,2019,358.01563
rou,2020,338.59783
rou,2021,362.71388
rou,2022,345.25745
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,146.76805
svk,2009,146.70901
svk,2010,156.33531
svk,2011,124.54458
svk,2012,131.38037
svk,2013,137.77291
svk,2014,113.74172
svk,2015,114.99503
svk,2016,116.90123
svk,2017,125.93692
svk,2018,114.13118
svk,2019,110.68475
svk,2020,113.14396
svk,2021,128.40551
svk,2022,124.26147
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,87.42634
svn,2009,63.3206
svn,2010,64.43983
svn,2011,60.33347
svn,2012,51.88714
svn,2013,54.76732
svn,2014,46.22469
svn,2015,49.79899
svn,2016,57.00374
svn,2017,55.24816
svn,2018,52.36695
svn,2019,51.59946
svn,2020,63.03845
svn,2021,60.77536
svn,2022,66.23621
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2378.56355
esp,2009,2154.72133
esp,2010,2242.83758
esp,2011,2186.87268
esp,2012,1993.15592
esp,2013,1856.84015
esp,2014,1666.19477
esp,2015,1635.47231
esp,2016,1535.57242
esp,2017,1438.87708
esp,2018,1453.42495
esp,2019,1409.26422
esp,2020,1206.99483
esp,2021,1546.88857
esp,2022,1556.25407
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,145.69042
swe,2009,139.63333
swe,2010,150.16341
swe,2011,154.76857
swe,2012,136.83223
swe,2013,131.4734
swe,2014,133.08892
swe,2015,127.73095
swe,2016,124.23201
swe,2017,117.00894
swe,2018,114.0787
swe,2019,113.33451
swe,2020,106.00495
swe,2021,103.72639
swe,2022,91.86967
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,305.85714
che,2009,314.66835
che,2010,362.11005
che,2011,266.65511
che,2012,298.61385
che,2013,367.0484
che,2014,297.62639
che,2015,302.96565
che,2016,302.47639
che,2017,260.98096
che,2018,263.35681
che,2019,283.93238
che,2020,250.07258
che,2021,299.40675
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,1177.8
gbr,2009,1002.1
gbr,2010,1007.6
gbr,2011,925.7
gbr,2012,989.5
gbr,2013,995.7
gbr,2014,916.5
gbr,2015,978.8
gbr,2016,1004.8
gbr,2017,987.7
gbr,2018,976
gbr,2019,971
gbr,2020,847.5
gbr,2021,917.5
gbr,2022,887.4
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,13143.98032
eu_three,2009,12380.34559
eu_three,2010,12482.79786
eu_three,2011,11627.11096
eu_three,2012,11458.54981
eu_three,2013,11424.05833
eu_three,2014,13045.22262
eu_three,2015,13434.29274
eu_three,2016,12932.46022
eu_three,2017,12997.73334
eu_three,2018,12657.40438
eu_three,2019,12330.36767
eu_three,2020,10869.80895
eu_three,2021,11713.18904
eu_three,2022,11152.53617
eu_three,2023,
