country,year,ae_cap_transp
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,1138.06215
deu,2009,1041.70797
deu,2010,1069.87868
deu,2011,1036.21691
deu,2012,1107.28576
deu,2013,1116.34266
deu,2014,1041.73111
deu,2015,1171.70451
deu,2016,1109.10705
deu,2017,1176.73088
deu,2018,1213.06835
deu,2019,1120.32685
deu,2020,798.88173
deu,2021,871.52759
deu,2022,941.77548
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1605.19903
grc,2009,1727.92169
grc,2010,1675.78202
grc,2011,1501.44572
grc,2012,1386.35615
grc,2013,1144.08029
grc,2014,1209.31605
grc,2015,1385.57583
grc,2016,1531.76574
grc,2017,1720.50565
grc,2018,1933.98949
grc,2019,2098.42113
grc,2020,1885.57108
grc,2021,1931.71913
grc,2022,2059.41192
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,764.98208
hun,2009,718.54562
hun,2010,686.68604
hun,2011,752.0197
hun,2012,552.17555
hun,2013,569.10771
hun,2014,615.01907
hun,2015,625.42413
hun,2016,615.3735
hun,2017,682.6395
hun,2018,728.68202
hun,2019,671.50767
hun,2020,484.30726
hun,2021,568.78207
hun,2022,815.96557
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,3352.04533
isl,2009,2672.6139
isl,2010,2981.91859
isl,2011,3043.56079
isl,2012,3390.93213
isl,2013,4285.68202
isl,2014,4351.44129
isl,2015,5834.97191
isl,2016,7159.90494
isl,2017,8153.42795
isl,2018,12274.91722
isl,2019,7871.56299
isl,2020,2837.40708
isl,2021,2660.7524
isl,2022,4880.52682
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1002.20989
irl,2009,865.24387
irl,2010,2571.30714
irl,2011,2748.97927
irl,2012,2734.57638
irl,2013,2741.30685
irl,2014,2804.38588
irl,2015,2932.37133
irl,2016,3492.71351
irl,2017,3963.03491
irl,2018,4173.17554
irl,2019,4167.09976
irl,2020,1704.10887
irl,2021,1708.11061
irl,2022,3186.7191
