country,year,env_tax_total
bol,1998,3.88
bol,1999,4.15
bol,2000,15.33
bol,2001,14.74
bol,2002,13.87
bol,2003,10.94
bol,2004,9.03
bol,2005,12.43
bol,2006,11.48
bol,2007,11.64
bol,2008,9.99
bol,2009,8.59
bol,2010,7.1
bol,2011,5.95
bol,2012,5.15
bol,2013,5.03
bol,2014,4.74
bol,2015,4.61
bol,2016,5.27
bol,2017,4.94
bol,2018,4.76
bol,2019,3.78
bol,2020,4.43
bol,2021,
bol,2022,
bol,2023,
bwa,1990,
bwa,1991,
bwa,1992,
bwa,1993,
bwa,1994,
bwa,1995,
bwa,1996,
bwa,1997,
bwa,1998,
bwa,1999,
bwa,2000,
bwa,2001,
bwa,2002,
bwa,2003,
bwa,2004,4.78
bwa,2005,2.86
bwa,2006,2.89
bwa,2007,2.91
bwa,2008,2.4
bwa,2009,2.49
bwa,2010,2.53
bwa,2011,2.06
bwa,2012,2.48
bwa,2013,2.16
bwa,2014,1.52
bwa,2015,1.89
bwa,2016,1.6
bwa,2017,2.25
bwa,2018,2.38
bwa,2019,2.44
bwa,2020,
bwa,2021,
bwa,2022,
bwa,2023,
bra,1990,
bra,1991,
bra,1992,
bra,1993,
bra,1994,0.59
bra,1995,1.3
bra,1996,1.41
bra,1997,1.55
bra,1998,1.67
bra,1999,1.48
bra,2000,1.5
bra,2001,3.46
bra,2002,3.76
bra,2003,3.56
bra,2004,3.23
bra,2005,3.28
bra,2006,3.35
bra,2007,3.4
bra,2008,3.23
bra,2009,2.93
bra,2010,3.18
bra,2011,3.16
bra,2012,2.6
bra,2013,2.38
bra,2014,2.43
bra,2015,2.66
bra,2016,2.74
bra,2017,2.68
bra,2018,2.54
bra,2019,2.31
bra,2020,2.28
bra,2021,
bra,2022,
bra,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,5.96
bgr,1996,3.8
bgr,1997,3.97
bgr,1998,7.66
bgr,1999,7.46
bgr,2000,8.16
bgr,2001,7.6
bgr,2002,7.73
bgr,2003,9.13
bgr,2004,9.56
bgr,2005,9.68
bgr,2006,8.97
bgr,2007,10.38
bgr,2008,10.67
bgr,2009,10.57
bgr,2010,10.76
bgr,2011,10.44
bgr,2012,10.12
bgr,2013,10.07
bgr,2014,9.94
bgr,2015,10.18
bgr,2016,10.19
bgr,2017,9.33
bgr,2018,8.79
bgr,2019,9.83
bgr,2020,9.88
bgr,2021,
bgr,2022,
bgr,2023,
bfa,1990,
bfa,1991,
bfa,1992,
bfa,1993,
bfa,1994,
bfa,1995,
bfa,1996,
bfa,1997,
bfa,1998,
bfa,1999,
