country,year,ggas_cap_water
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,363.67254
deu,2009,298.02034
deu,2010,322.97056
deu,2011,283.55997
deu,2012,322.89996
deu,2013,319.21701
deu,2014,308.22531
deu,2015,447.30564
deu,2016,374.12616
deu,2017,429.85298
deu,2018,476.37532
deu,2019,411.20956
deu,2020,329.85583
deu,2021,329.73469
deu,2022,326.26832
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1058.071
grc,2009,1106.21747
grc,2010,1114.47629
grc,2011,1013.93621
grc,2012,970.49588
grc,2013,744.80649
grc,2014,772.99389
grc,2015,945.48053
grc,2016,1080.70912
grc,2017,1212.99057
grc,2018,1388.67792
grc,2019,1509.78436
grc,2020,1449.47422
grc,2021,1495.45047
grc,2022,1569.38514
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2.39386
hun,2009,2.2878
hun,2010,2.18915
hun,2011,2.09139
hun,2012,1.997
hun,2013,1.68354
hun,2014,2.0087
hun,2015,2.01795
hun,2016,1.70127
hun,2017,1.70837
hun,2018,1.70678
hun,2019,1.70139
hun,2020,1.37737
hun,2021,1.05543
hun,2022,1.12962
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,958.95335
isl,2009,878.54863
isl,2010,868.57571
isl,2011,878.7738
isl,2012,892.82029
isl,2013,798.38568
isl,2014,651.91994
isl,2015,1581.41092
isl,2016,1140.01849
isl,2017,1637.7004
isl,2018,1808.63351
isl,2019,1527.75889
isl,2020,1226.19398
isl,2021,1154.09768
isl,2022,1105.49562
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,53.49076
irl,2009,46.05937
irl,2010,46.94093
irl,2011,39.96078
irl,2012,41.0448
irl,2013,40.26979
irl,2014,49.41113
irl,2015,48.45759
irl,2016,57.26473
irl,2017,50.99189
irl,2018,55.61286
irl,2019,58.83238
irl,2020,72.67983
irl,2021,78.32039
irl,2022,63.6659
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,351.79368
ita,2009,264.99926
ita,2010,310.193
ita,2011,284.70394
ita,2012,284.64683
ita,2013,276.95362
ita,2014,235.03214
ita,2015,228.43282
ita,2016,226.87453
ita,2017,285.62431
ita,2018,264.38628
ita,2019,304.23444
ita,2020,247.44318
ita,2021,268.20148
ita,2022,280.78441
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,10.25332
lva,2009,20.25784
lva,2010,16.54421
lva,2011,15.898
lva,2012,15.63074
lva,2013,21.95103
lva,2014,15.0285
lva,2015,14.24015
lva,2016,18.53952
lva,2017,17.31945
lva,2018,13.27835
lva,2019,16.55498
lva,2020,11.95091
lva,2021,12.65456
lva,2022,6.54155
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,26.2639
ltu,2009,34.17013
ltu,2010,53.57956
ltu,2011,46.09006
ltu,2012,43.85247
ltu,2013,9.64275
ltu,2014,7.30145
ltu,2015,6.7575
ltu,2016,26.45901
ltu,2017,26.90498
ltu,2018,40.09262
ltu,2019,38.92049
ltu,2020,39.20921
ltu,2021,50.36795
ltu,2022,40.98427
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,0.97215
lux,2009,1.21317
lux,2010,2.78196
lux,2011,2.14021
lux,2012,1.14046
lux,2013,1.11451
lux,2014,1.63478
lux,2015,2.13178
lux,2016,2.08748
lux,2017,2.37857
lux,2018,2.16879
lux,2019,2.12719
lux,2020,1.28891
lux,2021,1.11156
lux,2022,0.92587
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,69.25474
mlt,2009,78.98182
mlt,2010,115.92534
mlt,2011,117.12853
mlt,2012,94.73856
mlt,2013,73.34759
mlt,2014,72.26747
mlt,2015,77.51567
mlt,2016,68.99729
mlt,2017,76.48492
mlt,2018,71.23705
mlt,2019,92.62424
mlt,2020,95.79857
mlt,2021,119.89088
mlt,2022,126.0196
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,563.80863
nld,2009,508.82373
nld,2010,493.46977
nld,2011,477.26668
nld,2012,508.90069
nld,2013,505.24964
nld,2014,516.08206
nld,2015,503.66655
nld,2016,482.01311
nld,2017,489.57014
nld,2018,504.95217
nld,2019,475.09135
nld,2020,482.17025
nld,2021,447.69812
nld,2022,425.11642
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2234.01023
nor,2009,1881.59052
nor,2010,1955.47045
nor,2011,2986.25195
nor,2012,2919.9724
nor,2013,2781.27432
nor,2014,2527.2064
nor,2015,3688.97943
nor,2016,2257.66989
nor,2017,2712.52826
nor,2018,3192.01781
nor,2019,3296.76739
nor,2020,3063.98811
nor,2021,3062.35467
nor,2022,3112.03981
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,36.48254
pol,2009,37.30294
pol,2010,40.79363
pol,2011,41.68341
pol,2012,40.83152
pol,2013,39.50898
pol,2014,41.97004
pol,2015,44.9512
pol,2016,3.89087
pol,2017,0.66987
pol,2018,0.40957
pol,2019,0.36555
pol,2020,0.52755
pol,2021,0.93433
pol,2022,0.95909
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,77.42502
prt,2009,76.61771
prt,2010,58.57619
prt,2011,54.04511
prt,2012,58.44117
prt,2013,52.91297
prt,2014,53.62669
prt,2015,57.59425
prt,2016,57.73716
prt,2017,56.3165
prt,2018,60.60778
prt,2019,58.23009
prt,2020,44.18828
prt,2021,47.0914
prt,2022,50.23983
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,7.56641
rou,2009,4.68662
rou,2010,5.09713
rou,2011,4.65377
rou,2012,4.00503
rou,2013,7.58896
rou,2014,10.46416
rou,2015,8.07313
rou,2016,6.00225
rou,2017,6.23934
rou,2018,5.81969
rou,2019,7.1243
rou,2020,7.21071
rou,2021,7.43542
rou,2022,7.15341
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,2.35975
svk,2009,2.26136
svk,2010,2.43815
svk,2011,2.22816
svk,2012,1.23573
svk,2013,1.57581
svk,2014,1.61491
svk,2015,2.46121
svk,2016,2.2385
svk,2017,2.21127
svk,2018,1.62253
svk,2019,1.99961
svk,2020,1.84892
svk,2021,2.01925
svk,2022,2.0514
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,61.36203
svn,2009,49.72197
svn,2010,49.04639
svn,2011,50.51997
svn,2012,38.45792
svn,2013,39.65459
svn,2014,42.81589
svn,2015,41.15057
svn,2016,30.77593
svn,2017,2.58989
svn,2018,29.88156
svn,2019,42.99996
svn,2020,13.40518
svn,2021,18.18996
svn,2022,18.1638
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,91.67177
esp,2009,75.8624
esp,2010,72.15066
esp,2011,56.13405
esp,2012,58.33904
esp,2013,35.14544
esp,2014,22.86566
esp,2015,29.86442
esp,2016,42.33925
esp,2017,66.94386
esp,2018,68.83977
esp,2019,71.6484
esp,2020,53.21382
esp,2021,60.34158
esp,2022,62.52174
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
