country,year,ggas_cap_air
deu,2005,
deu,2006,
deu,2007,
deu,2008,379.49125
deu,2009,353.78993
deu,2010,341.56457
deu,2011,334.34445
deu,2012,364.50143
deu,2013,363.2573
deu,2014,347.32454
deu,2015,336.8963
deu,2016,355.12779
deu,2017,371.66949
deu,2018,371.0663
deu,2019,354.54109
deu,2020,151.78815
deu,2021,200.34801
deu,2022,286.37666
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,116.35643
grc,2009,112.83422
grc,2010,98.46432
grc,2011,106.26358
grc,2012,96.78304
grc,2013,87.74948
grc,2014,102.27216
grc,2015,118.66851
grc,2016,130.66192
grc,2017,134.82522
grc,2018,144.97029
grc,2019,148.58242
grc,2020,61.83246
grc,2021,97.53062
grc,2022,116.00452
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,294.92975
hun,2009,263.56016
hun,2010,269.40023
hun,2011,332.10839
hun,2012,159.73971
hun,2013,173.40526
hun,2014,186.77277
hun,2015,196.19533
hun,2016,221.54663
hun,2017,284.91316
hun,2018,341.59998
hun,2019,304.07164
hun,2020,183.01027
hun,2021,232.01497
hun,2022,461.2343
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,2191.41527
isl,2009,1600.88109
isl,2010,1937.20681
isl,2011,1979.20416
isl,2012,2295.09351
isl,2013,3240.14101
isl,2014,3480.54413
isl,2015,4039.57945
isl,2016,5779.67827
isl,2017,6272.05437
isl,2018,10194.31809
isl,2019,6096.72559
isl,2020,1392.37
isl,2021,1261.36049
isl,2022,3513.12789
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,17.61008
irl,2009,15.15954
irl,2010,1804.56644
irl,2011,1986.97681
irl,2012,2000.77615
irl,2013,2125.75227
irl,2014,2199.51444
irl,2015,2353.75663
irl,2016,2863.3223
irl,2017,3254.02127
irl,2018,3485.00447
irl,2019,3557.55041
irl,2020,1166.72099
irl,2021,1201.57144
irl,2022,2677.17729
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,147.57435
ita,2009,119.0199
ita,2010,119.21773
ita,2011,122.20983
ita,2012,111.53986
ita,2013,103.66
ita,2014,112.55456
ita,2015,100.72086
ita,2016,103.19617
ita,2017,105.58622
ita,2018,112.96211
ita,2019,118.65372
ita,2020,40.55931
ita,2021,42.91783
ita,2022,44.91889
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
