country,year,ae_ton_land
est,2021,1091.5736
est,2022,1096.31337
est,2023,
fin,1990,
fin,1991,
fin,1992,
fin,1993,
fin,1994,
fin,1995,
fin,1996,
fin,1997,
fin,1998,
fin,1999,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,4643.38155
fin,2009,4447.85477
fin,2010,4596.64222
fin,2011,4586.45118
fin,2012,4784.49822
fin,2013,4144.16475
fin,2014,3437.70739
fin,2015,3585.67246
fin,2016,4245.97295
fin,2017,4131.44175
fin,2018,4107.93093
fin,2019,3911.65765
fin,2020,4041.05726
fin,2021,3579.13117
fin,2022,3506.99838
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,22158.5609
fra,2009,21134.77015
fra,2010,21134.08656
fra,2011,21008.59263
fra,2012,20240.06375
fra,2013,19126.025
fra,2014,17934.67407
fra,2015,17331.42477
fra,2016,17204.0892
fra,2017,16848.80871
fra,2018,15425.13266
fra,2019,15922.22652
fra,2020,14870.71441
fra,2021,16967.16903
fra,2022,17269.25295
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,18472.95179
deu,2009,19355.87005
deu,2010,19799.8827
deu,2011,20406.39129
deu,2012,20436.3437
deu,2013,21121.7435
deu,2014,17610.89858
deu,2015,17186.12824
deu,2016,16556.31323
deu,2017,16017.03427
deu,2018,15346.46505
deu,2019,14760.49999
deu,2020,12500.18418
deu,2021,12798.67298
deu,2022,12826.89658
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,4311.73552
grc,2009,5240.97554
grc,2010,4749.08584
grc,2011,3891.66228
grc,2012,3132.91335
grc,2013,3102.35595
grc,2014,3374.93426
grc,2015,3106.54142
grc,2016,3075.9371
grc,2017,3627.62778
grc,2018,3933.26066
grc,2019,4313.33416
grc,2020,3763.02761
grc,2021,3262.91438
grc,2022,3577.06642
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,4414.81368
hun,2009,4203.66914
hun,2010,3774.86653
hun,2011,3722.83088
hun,2012,3454.33674
hun,2013,3445.35994
hun,2014,3705.63905
hun,2015,3700.71484
hun,2016,3356.10656
hun,2017,3393.8665
hun,2018,3292.9633
hun,2019,3120.63986
hun,2020,2541.11394
hun,2021,2828.9952
hun,2022,3021.21905
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,50.98506
