country,year,ae_cap_total
fra,2020,4650.66425
fra,2021,4860.54857
fra,2022,4860.61498
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,10115.61826
deu,2009,9321.2955
deu,2010,9667.30977
deu,2011,9668.75122
deu,2012,9767.75313
deu,2013,9890.30045
deu,2014,9336.31394
deu,2015,9357.88722
deu,2016,9211.87893
deu,2017,9040.14272
deu,2018,8728.75768
deu,2019,7930.78154
deu,2020,7039.77503
deu,2021,7528.06739
deu,2022,7391.81001
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,11023.01151
grc,2009,10354.69072
grc,2010,9989.26871
grc,2011,9620.52232
grc,2012,9558.04909
grc,2013,8893.05591
grc,2014,8668.78043
grc,2015,8372.38355
grc,2016,8222.02074
grc,2017,8770.31265
grc,2018,8747.67903
grc,2019,8190.97834
grc,2020,7159.12508
grc,2021,7404.62596
grc,2022,7486.77365
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,6037.92319
hun,2009,5429.11941
hun,2010,5527.87399
hun,2011,5555.34942
hun,2012,5118.86096
hun,2013,4985.63275
hun,2014,5079.38595
hun,2015,5309.83606
hun,2016,5290.18346
hun,2017,5509.9815
hun,2018,5565.00066
hun,2019,5421.99489
hun,2020,5142.94018
hun,2021,5222.88312
hun,2022,5102.02049
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,17704.69159
isl,2009,16180.65434
isl,2010,16184.24673
isl,2011,15554.87578
isl,2012,15875.50599
