country,year,ae_cap_other
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,27.22172
fra,2009,28.85425
fra,2010,28.86107
fra,2011,24.66456
fra,2012,25.44867
fra,2013,22.79901
fra,2014,21.8011
fra,2015,22.26725
fra,2016,21.87704
fra,2017,22.22774
fra,2018,20.85218
fra,2019,18.70879
fra,2020,17.50974
fra,2021,18.35481
fra,2022,16.08583
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,52.34862
deu,2009,45.41637
deu,2010,45.25212
deu,2011,42.45572
deu,2012,42.97443
deu,2013,46.81198
deu,2014,71.02677
deu,2015,72.29069
deu,2016,71.78837
deu,2017,70.54999
deu,2018,66.54235
deu,2019,65.26975
deu,2020,57.75625
deu,2021,57.71685
deu,2022,54.84132
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,6.3598
grc,2009,5.61275
grc,2010,5.42693
grc,2011,5.285
grc,2012,5.76656
grc,2013,3.70505
grc,2014,3.23971
grc,2015,5.57545
grc,2016,5.00887
grc,2017,4.13434
grc,2018,3.70428
grc,2019,3.87311
grc,2020,4.87136
grc,2021,4.65628
grc,2022,4.95762
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,14.09149
hun,2009,14.01335
hun,2010,14.18925
hun,2011,14.20317
hun,2012,12.54791
hun,2013,13.31852
hun,2014,12.23148
hun,2015,12.13235
hun,2016,10.54367
hun,2017,9.94979
hun,2018,9.47408
hun,2019,9.17984
hun,2020,7.47458
hun,2021,7.96819
hun,2022,7.54953
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,4.64564
isl,2009,5.11216
isl,2010,5.29049
isl,2011,4.90532
isl,2012,4.72666
isl,2013,4.76786
isl,2014,4.55434
isl,2015,5.03815
isl,2016,5.36596
isl,2017,4.83079
isl,2018,4.89785
isl,2019,4.8741
isl,2020,3.90701
isl,2021,3.94541
isl,2022,4.24365
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,15.13406
irl,2009,13.03574
irl,2010,10.48872
irl,2011,17.65322
irl,2012,14.93305
irl,2013,21.38666
irl,2014,20.23035
irl,2015,20.53709
irl,2016,29.44371
irl,2017,31.20332
irl,2018,34.07726
irl,2019,27.05876
irl,2020,19.12055
irl,2021,21.28617
irl,2022,21.26721
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,16.52419
ita,2009,16.77987
ita,2010,15.51104
ita,2011,13.62717
ita,2012,13.11251
ita,2013,12.71232
ita,2014,11.45157
ita,2015,12.43054
ita,2016,12.11245
ita,2017,12.12991
ita,2018,13.37343
ita,2019,13.24159
ita,2020,10.7697
ita,2021,13.37782
ita,2022,12.86762
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,7.90968
lva,2009,4.75531
lva,2010,4.60873
lva,2011,29.61093
lva,2012,29.15707
lva,2013,4.80397
lva,2014,4.34197
lva,2015,5.22112
lva,2016,6.13223
lva,2017,6.74375
lva,2018,6.43454
lva,2019,5.64219
lva,2020,5.71437
lva,2021,4.86782
lva,2022,4.80501
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,4.12827
ltu,2009,4.67956
ltu,2010,4.79561
ltu,2011,5.57157
ltu,2012,4.5287
ltu,2013,4.91793
ltu,2014,5.85346
ltu,2015,4.93063
ltu,2016,7.61549
ltu,2017,8.23516
ltu,2018,10.03897
