country,year,ae_ton_food
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,228.07112
fin,2009,226.10763
fin,2010,222.93351
fin,2011,218.70274
fin,2012,224.20033
fin,2013,220.50696
fin,2014,213.72046
fin,2015,242.99704
fin,2016,219.87546
fin,2017,189.15276
fin,2018,182.97349
fin,2019,155.82515
fin,2020,143.88722
fin,2021,136.74959
fin,2022,124.55681
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,3336.68758
fra,2009,3668.84514
fra,2010,3853.8542
fra,2011,3099.76605
fra,2012,3288.62155
fra,2013,2621.83476
fra,2014,2382.31984
fra,2015,2498.83405
fra,2016,2493.58734
fra,2017,2562.38512
fra,2018,2523.8383
fra,2019,2529.01043
fra,2020,2203.08799
fra,2021,2404.93486
fra,2022,2095.45453
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,4020.92081
deu,2009,4045.47437
deu,2010,3332.47501
deu,2011,3069.56237
deu,2012,2868.87707
deu,2013,2984.45389
deu,2014,2738.65879
deu,2015,2801.60216
deu,2016,2811.17936
deu,2017,2638.36077
deu,2018,2372.46662
deu,2019,2358.66465
deu,2020,2309.83456
deu,2021,2131.08544
deu,2022,2008.02945
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,185.80378
grc,2009,163.30217
grc,2010,159.58577
grc,2011,130.24036
grc,2012,184.33048
grc,2013,188.101
grc,2014,169.83049
grc,2015,215.6963
grc,2016,207.11074
grc,2017,189.36739
grc,2018,201.51889
grc,2019,236.30927
grc,2020,51.04158
grc,2021,69.54898
grc,2022,70.302
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,189.7306
hun,2009,208.91356
hun,2010,208.4888
hun,2011,202.49107
hun,2012,171.90434
hun,2013,168.49818
hun,2014,188.6249
hun,2015,204.48033
hun,2016,190.45569
hun,2017,196.87478
hun,2018,206.00822
hun,2019,199.57252
hun,2020,136.26847
hun,2021,168.6954
hun,2022,153.48783
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,2.65076
isl,2009,2.87863
isl,2010,2.97322
isl,2011,2.86019
isl,2012,3.28883
isl,2013,3.48489
isl,2014,3.81156
isl,2015,4.20436
isl,2016,4.61458
isl,2017,5.18312
isl,2018,5.3394
isl,2019,5.55167
isl,2020,4.76106
isl,2021,4.90701
isl,2022,5.23582
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,334.2989
irl,2009,290.94379
irl,2010,257.84801
irl,2011,250.82862
irl,2012,251.52162
irl,2013,265.12901
irl,2014,251.00571
irl,2015,273.5573
irl,2016,241.27095
irl,2017,231.20516
irl,2018,211.82483
irl,2019,229.99782
irl,2020,227.98459
irl,2021,209.03163
irl,2022,214.52678
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,3855.05279
ita,2009,3931.77678
ita,2010,3702.32515
ita,2011,3133.45121
ita,2012,2937.42488
ita,2013,2961.39999
ita,2014,2456.5068
ita,2015,2822.02488
ita,2016,2712.9934
ita,2017,2739.97252
ita,2018,3035.5203
ita,2019,2887.35842
ita,2020,2463.01779
ita,2021,2838.203
ita,2022,3088.01193
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,36.88935
lva,2009,18.81828
lva,2010,22.99505
lva,2011,16.75775
lva,2012,12.96525
lva,2013,18.46891
lva,2014,20.46802
lva,2015,23.68501
lva,2016,18.66577
lva,2017,19.42646
lva,2018,14.74846
lva,2019,15.79466
lva,2020,14.13716
lva,2021,17.55677
lva,2022,17.45379
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,15.06775
ltu,2009,16.38801
ltu,2010,17.11721
ltu,2011,18.56561
ltu,2012,15.86979
ltu,2013,15.95294
ltu,2014,16.65289
ltu,2015,14.52345
ltu,2016,18.27218
ltu,2017,18.91665
ltu,2018,22.36546
ltu,2019,21.83595
ltu,2020,15.55097
ltu,2021,37.44164
ltu,2022,36.91184
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,21.71819
lux,2009,21.55285
lux,2010,24.75134
lux,2011,22.51323
lux,2012,30.89981
lux,2013,32.59665
lux,2014,22.93316
lux,2015,30.84308
lux,2016,34.57646
lux,2017,36.39692
lux,2018,38.71686
lux,2019,40.22175
lux,2020,16.01464
lux,2021,22.18029
lux,2022,18.88882
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,33.05364
mlt,2009,30.93572
mlt,2010,40.09379
mlt,2011,32.15279
mlt,2012,47.89349
mlt,2013,49.30387
mlt,2014,58.51333
mlt,2015,69.31534
mlt,2016,73.11046
mlt,2017,70.57982
mlt,2018,60.46197
mlt,2019,58.058
mlt,2020,51.69602
mlt,2021,52.40192
mlt,2022,54.23486
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,945.7422
nld,2009,951.80211
nld,2010,1180.76268
nld,2011,1014.13013
nld,2012,1190.94954
nld,2013,1253.51925
nld,2014,1038.55404
nld,2015,1115.46282
nld,2016,1112.12171
nld,2017,1109.25295
nld,2018,1075.70331
nld,2019,1058.87524
nld,2020,940.97739
nld,2021,981.83902
nld,2022,864.09723
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,195.77549028
nzl,2009,188.36396453
nzl,2010,192.20121073
nzl,2011,192.92829695
nzl,2012,185.6731189
nzl,2013,177.17586029
nzl,2014,192.89635669
nzl,2015,177.08996504
nzl,2016,193.80550647
nzl,2017,197.42212722
nzl,2018,188.98916682
nzl,2019,201.49960781
nzl,2020,184.54103258
nzl,2021,151.66921662
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,104.78252
nor,2009,107.2988
nor,2010,126.65401
nor,2011,124.68089
nor,2012,125.75476
nor,2013,127.04312
nor,2014,128.56675
nor,2015,133.50127
nor,2016,139.22799
nor,2017,128.22348
nor,2018,135.81194
nor,2019,123.767
nor,2020,111.36651
nor,2021,98.64272
nor,2022,97.23927
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,500.00519
pol,2009,485.37992
pol,2010,511.35098
pol,2011,478.49296
pol,2012,472.35672
pol,2013,436.6766
pol,2014,419.30696
pol,2015,432.22911
pol,2016,650.46523
pol,2017,611.21072
pol,2018,628.35822
pol,2019,693.32295
pol,2020,708.02123
pol,2021,834.12189
pol,2022,784.84033
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,353.45
prt,2009,344.8143
prt,2010,225.2936
prt,2011,216.9044
prt,2012,212.2765
prt,2013,214.0715
prt,2014,278.3484
prt,2015,302.0362
prt,2016,311.9411
prt,2017,308.3244
prt,2018,355.0689
prt,2019,315.6797
prt,2020,239.4066
prt,2021,247.821
prt,2022,237.02868
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,186.04062
rou,2009,166.9804
rou,2010,167.96143
rou,2011,161.51608
rou,2012,166.17925
rou,2013,161.60654
rou,2014,165.31084
rou,2015,166.04157
rou,2016,174.03281
rou,2017,187.72172
rou,2018,192.52501
rou,2019,193.618
rou,2020,181.32487
rou,2021,194.94512
rou,2022,183.74826
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,170.84765
svk,2009,173.96373
svk,2010,186.26207
svk,2011,155.31181
svk,2012,167.51494
svk,2013,174.5362
svk,2014,151.99458
svk,2015,154.70137
svk,2016,156.80377
svk,2017,169.64047
svk,2018,158.83119
svk,2019,164.0073
svk,2020,156.83954
svk,2021,176.43473
svk,2022,167.97544
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,143.39479
svn,2009,154.00909
svn,2010,145.13046
svn,2011,136.08955
svn,2012,115.65718
svn,2013,128.73015
svn,2014,88.62937
svn,2015,98.95871
svn,2016,112.28804
svn,2017,105.19999
svn,2018,108.67099
svn,2019,109.23369
svn,2020,88.22906
svn,2021,86.30559
svn,2022,89.24595
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2698.21407
esp,2009,2901.74911
esp,2010,3505.18775
esp,2011,3663.8445
esp,2012,3303.47585
esp,2013,2693.43773
esp,2014,2198.55195
esp,2015,2109.73142
esp,2016,2144.87229
esp,2017,2271.73457
esp,2018,2401.17739
esp,2019,2381.60999
esp,2020,1879.72885
esp,2021,2059.64737
esp,2022,1920.03715
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,86.45201
swe,2009,86.50668
swe,2010,91.43416
swe,2011,86.06241
swe,2012,80.83955
swe,2013,80.52373
swe,2014,77.96696
swe,2015,79.63664
swe,2016,77.43303
swe,2017,76.03687
swe,2018,73.48215
swe,2019,71.89636
swe,2020,66.16616
swe,2021,66.76679
swe,2022,61.31083
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,912.71103
che,2009,828.82126
che,2010,920.86199
che,2011,792.89638
che,2012,830.05831
che,2013,802.39032
che,2014,645.34226
che,2015,626.50499
che,2016,661.88013
che,2017,666.53758
che,2018,631.14389
che,2019,555.73915
che,2020,526.11602
che,2021,540.64693
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,3981.2
gbr,2009,3309.8
gbr,2010,3552.9
gbr,2011,3221.1
gbr,2012,3598.9
gbr,2013,3679.8
gbr,2014,3270
gbr,2015,3615.8
gbr,2016,3708
gbr,2017,3681.8
gbr,2018,3641.4
gbr,2019,3623.9
gbr,2020,3112.7
gbr,2021,3448.5
gbr,2022,3236.8
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,19190.12498
eu_three,2009,19745.60546
eu_three,2010,19762.97069
eu_three,2011,17821.51495
eu_three,2012,17457.34238
eu_three,2013,16421.73727
eu_three,2014,14457.6098
eu_three,2015,15256.02026
eu_three,2016,15325.95528
eu_three,2017,15249.77995
eu_three,2018,15484.69707
eu_three,2019,15323.53175
eu_three,2020,13242.86915
eu_three,2021,14205.21858
eu_three,2022,13557.91039
eu_three,2023,
