country,year,ae_cap_manu
fin,2013,2618.24625
fin,2014,2344.90731
fin,2015,2288.91584
fin,2016,2245.45084
fin,2017,2159.15593
fin,2018,2158.36802
fin,2019,2079.32166
fin,2020,1936.76333
fin,2021,1956.75476
fin,2022,1683.76548
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,1990.61885
fra,2009,1673.94805
fra,2010,1736.38663
fra,2011,1631.70971
fra,2012,1527.13731
fra,2013,1542.95935
fra,2014,1495.76548
fra,2015,1445.62629
fra,2016,1431.10955
fra,2017,1414.41355
fra,2018,1401.77008
fra,2019,1346.98688
fra,2020,1193.34238
fra,2021,1266.42158
fra,2022,1198.41259
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,2637.60648
deu,2009,2320.05971
deu,2010,2468.97866
deu,2011,2470.01639
deu,2012,2405.3763
deu,2013,2445.21821
deu,2014,2411.26795
deu,2015,2481.42333
deu,2016,2507.06312
deu,2017,2564.30334
deu,2018,2455.46398
deu,2019,2373.97675
deu,2020,2292.01046
deu,2021,2386.58361
deu,2022,2168.88958
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2290.70082
grc,2009,1914.09647
grc,2010,1868.0361
grc,2011,1513.46307
grc,2012,1660.81458
grc,2013,1850.52156
grc,2014,1929.65537
grc,2015,1873.08992
grc,2016,1966.22998
grc,2017,1962.2977
grc,2018,1886.04914
grc,2019,1749.38202
grc,2020,1590.16383
grc,2021,1725.5743
grc,2022,1611.34244
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1181.24941
hun,2009,969.26451
hun,2010,1000.61734
hun,2011,1026.62095
hun,2012,941.5921
hun,2013,942.71406
hun,2014,1013.34544
hun,2015,1095.27883
hun,2016,1093.45881
hun,2017,1218.69135
hun,2018,1256.66179
hun,2019,1229.75423
hun,2020,1195.35469
hun,2021,1197.55838
hun,2022,1013.12684
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,6819.16993
isl,2009,6093.87406
isl,2010,6077.44076
isl,2011,5709.68256
isl,2012,5896.06755
isl,2013,5884.11698
isl,2014,5644.78847
isl,2015,5844.04605
isl,2016,5676.48799
isl,2017,5708.4557
isl,2018,5652.63674
isl,2019,5759.83255
isl,2020,5596.66308
isl,2021,5706.77235
isl,2022,5508.14026
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1697.88171
irl,2009,1459.12154
irl,2010,1366.45853
irl,2011,1239.33807
irl,2012,1309.77067
irl,2013,1339.76689
irl,2014,1464.24659
irl,2015,1509.71269
irl,2016,1522.97423
irl,2017,1545.25276
irl,2018,1570.8965
irl,2019,1507.50841
irl,2020,1451.75918
irl,2021,1525.6064
irl,2022,1387.54821
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,2553.32669
ita,2009,2044.58175
ita,2010,2147.15269
ita,2011,2089.90635
ita,2012,1928.93532
ita,2013,1641.40696
ita,2014,1525.14606
ita,2015,1577.5031
ita,2016,1541.39081
ita,2017,1511.40118
ita,2018,1535.24965
ita,2019,1474.55807
ita,2020,1326.09397
ita,2021,1497.19799
ita,2022,1463.92595
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,710.2354
lva,2009,595.29803
lva,2010,841.19739
lva,2011,770.79894
lva,2012,812.51457
lva,2013,712.59696
lva,2014,705.0597
lva,2015,640.36001
lva,2016,563.16998
lva,2017,640.97551
lva,2018,757.37994
lva,2019,728.53874
lva,2020,692.58413
lva,2021,688.9474
lva,2022,665.33243
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2627.28342
ltu,2009,1626.17238
ltu,2010,1647.4334
ltu,2011,2164.41469
ltu,2012,2149.32685
ltu,2013,1972.45009
ltu,2014,2121.28518
ltu,2015,2242.78367
ltu,2016,2022.76308
ltu,2017,2040.41914
ltu,2018,1950.92828
ltu,2019,2037.48871
ltu,2020,1979.77721
ltu,2021,1824.8331
ltu,2022,1540.80184
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3606.5971
lux,2009,3172.89073
lux,2010,3306.06296
lux,2011,3114.8971
lux,2012,2877.27989
lux,2013,2675.20133
lux,2014,2680.2417
lux,2015,2562.64665
lux,2016,2554.49642
lux,2017,2485.42467
lux,2018,2463.81396
lux,2019,2468.9755
lux,2020,2182.1894
lux,2021,2054.10552
lux,2022,1702.87399
lux,2023,
mlt,1990,
mlt,1991,
