country,year,ae_ton_agri
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,88933.30282
fra,2009,87947.3674
fra,2010,85836.22403
fra,2011,85592.36286
fra,2012,84783.44591
fra,2013,84560.4923
fra,2014,86109.6632
fra,2015,85621.22037
fra,2016,84135.71847
fra,2017,83864.00902
fra,2018,82937.1129
fra,2019,80959.49102
fra,2020,80375.38514
fra,2021,78841.14083
fra,2022,81649.14045
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,65965.92441
deu,2009,66367.53945
deu,2010,66915.75686
deu,2011,67750.20417
deu,2012,67363.03619
deu,2013,68317.66754
deu,2014,69427.31114
deu,2015,69590.33555
deu,2016,69154.00296
deu,2017,68236.04611
deu,2018,66172.87021
deu,2019,65333.23219
deu,2020,64828.35858
deu,2021,63629.3048
deu,2022,64440.68604
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,12194.21124
grc,2009,11443.29595
grc,2010,11429.19042
grc,2011,11231.58044
grc,2012,10037.36438
grc,2013,9566.62497
grc,2014,9201.10588
grc,2015,9085.27941
grc,2016,9032.98391
grc,2017,9010.08575
grc,2018,8923.86075
grc,2019,8886.53141
grc,2020,9399.93135
grc,2021,9047.31451
grc,2022,9464.7956
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,7965.36738
hun,2009,7467.01055
hun,2010,7537.09591
hun,2011,7804.65956
hun,2012,7594.15215
hun,2013,8377.95363
hun,2014,8822.10397
hun,2015,9134.1821
hun,2016,9492.13194
hun,2017,9376.44039
hun,2018,9513.94934
hun,2019,9543.89092
hun,2020,9700.86976
hun,2021,9717.19286
hun,2022,8630.38419
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,1273.1911
isl,2009,1352.92601
isl,2010,1296.77227
isl,2011,1276.13911
isl,2012,1257.288
isl,2013,1250.9384
isl,2014,1255.81077
isl,2015,1258.64958
isl,2016,1236.93718
isl,2017,1197.59564
isl,2018,1206.28862
isl,2019,1198.20476
isl,2020,1196.91361
isl,2021,1200.71799
isl,2022,1197.75138
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,21034.20649
irl,2009,20284.99029
irl,2010,20294.18059
irl,2011,19635.82012
irl,2012,20498.15199
irl,2013,21210.78844
irl,2014,20691.85059
irl,2015,21234.65738
irl,2016,21794.91478
irl,2017,22564.41144
irl,2018,23442.11284
irl,2019,22531.40669
irl,2020,22856.76021
irl,2021,23678.05813
irl,2022,23391.90226
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,43717.94801
ita,2009,43158.59608
ita,2010,41794.3886
ita,2011,42208.86414
ita,2012,42249.41066
ita,2013,41471.32041
ita,2014,41305.49412
ita,2015,41440.66372
ita,2016,42405.02916
ita,2017,41925.12061
ita,2018,42147.5099
ita,2019,41624.50386
ita,2020,42699.33186
ita,2021,42382.86819
ita,2022,41019.55237
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
