country,year,ae_ton_admin
fin,1998,
fin,1999,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,470.52381
fin,2009,351.31561
fin,2010,278.54636
fin,2011,291.02329
fin,2012,281.15359
fin,2013,326.90999
fin,2014,328.12886
fin,2015,235.63452
fin,2016,248.24328
fin,2017,252.92774
fin,2018,241.0091
fin,2019,262.47073
fin,2020,306.95218
fin,2021,316.26424
fin,2022,281.38332
fin,2023,
fra,1990,
fra,1991,
fra,1992,
fra,1993,
fra,1994,
fra,1995,
fra,1996,
fra,1997,
fra,1998,
fra,1999,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,10290.10379
fra,2009,9683.80192
fra,2010,9496.67413
fra,2011,8804.8763
fra,2012,8583.18705
fra,2013,8522.20078
fra,2014,8305.01141
fra,2015,8621.47285
fra,2016,8500.6032
fra,2017,8356.51268
fra,2018,8498.63568
fra,2019,8343.70473
fra,2020,7509.60526
fra,2021,8226.6935
fra,2022,7830.36949
fra,2023,
deu,1990,
deu,1991,
deu,1992,
deu,1993,
deu,1994,
deu,1995,
deu,1996,
deu,1997,
deu,1998,
deu,1999,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,1210.07963
deu,2009,989.18804
deu,2010,1790.62572
deu,2011,2014.12404
deu,2012,1780.47243
deu,2013,1776.25918
deu,2014,1666.72906
deu,2015,1680.359
deu,2016,1650.09852
deu,2017,1671.07711
deu,2018,1546.11194
deu,2019,1570.20151
deu,2020,1430.51874
deu,2021,1463.25538
deu,2022,1414.0755
deu,2023,
grc,1990,
grc,1991,
grc,1992,
grc,1993,
grc,1994,
grc,1995,
grc,1996,
grc,1997,
grc,1998,
grc,1999,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,63.84915
grc,2009,58.22797
grc,2010,53.37412
grc,2011,54.00368
grc,2012,62.56482
grc,2013,53.11604
grc,2014,55.63726
grc,2015,52.73933
grc,2016,58.46676
grc,2017,52.64386
grc,2018,53.07328
grc,2019,54.17051
grc,2020,21.16508
grc,2021,32.51996
grc,2022,34.02017
grc,2023,
hun,1990,
hun,1991,
hun,1992,
hun,1993,
hun,1994,
hun,1995,
hun,1996,
hun,1997,
hun,1998,
hun,1999,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,474.67957
hun,2009,506.94449
hun,2010,494.55916
hun,2011,500.35886
hun,2012,432.33065
hun,2013,475.71518
hun,2014,528.85994
hun,2015,628.97372
hun,2016,666.25962
hun,2017,750.7776
hun,2018,859.39621
hun,2019,878.87159
hun,2020,740.98548
hun,2021,853.82014
hun,2022,857.86324
hun,2023,
isl,1990,
isl,1991,
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,15.94484
isl,2009,17.03019
isl,2010,15.79185
isl,2011,14.49794
isl,2012,14.64876
isl,2013,15.41886
isl,2014,16.58841
isl,2015,17.95532
isl,2016,22.83954
isl,2017,26.56309
isl,2018,29.3138
isl,2019,30.7685
isl,2020,28.04227
isl,2021,28.74258
isl,2022,33.32891
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,218.82196
irl,2009,190.83336
irl,2010,129.55305
irl,2011,70.27628
irl,2012,83.67946
irl,2013,133.28797
irl,2014,124.88456
irl,2015,149.30599
irl,2016,186.07403
irl,2017,181.33468
irl,2018,153.40145
irl,2019,181.46777
irl,2020,150.6104
irl,2021,131.05351
irl,2022,135.92377
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
